"Label","Row.names","LarvalID","CollectionEvent","RackNo","Species","LarvaePhoto","LarvaEthanolLength","LarvaLength","KnownAge","CollectedBy","LarvalRecords.Comments","Calculated.Age","Delta13C","Delta15N","CNRatio","BodyWeight","SourceLarvae","LarvalRecords.CreatedDate","PlateID","Row","Column","NestID","LarvalOtoliths.LarvaID","OtolithCount","Otolith1Length","Otolith1Width","Otolith1Photo","PatsLength","Ratio1","Otolith1Rings","Otolith2Length","Otolith2Width","Otolith2Photo","Ratio2","Otolith2Rings","AblationSlide","AblationSlideColumn","AblationSlideRow","AblationCentralityScore","Mean.Otolith.Length.is.in.Millimetres.for.comparison.with.Adults","LarvalOtoliths.Comments","MeanDailyIncrements","LarvalOtoliths.CreatedDate","OLEstimateAge","Larva.Collection.ID","Set.Date","Net","Set.Time","Set.Flow.Rotor.Count","Set.30.Seconds.Count","Set.Rotor.Delta","Water.Temperature.on.Set","Water.Temperature.on.Pull","Pull.Time","Pull.Flow.Rotor.Count","Pull.30.sec.Rotor.Count","Pull.Rotor.Delta","Larva.Collection.Comments","Examined","Larvae.Found","Cod.Confirmed","Larvae.Comments","Weather","cSettime","cPulltime","Soak.Time","Pull.Date","Larva.Collection.Source","Depth..m.","Total.Rotor.Delta","Delta.per.Hour","Average.set.and.pull.30.sec.delta","Av.rotor.if.over.whole.soak.time","Maccullochella.larvae","Perca.larvae","Cyprinus.larvae","Other.species","Location","SoakHours","OrigTotalRotor","YearOnly","Day.of.Year","Larva.Collection.CreatedDate","SiteName","ACFlowAndWQ.ID","Datetime","ACFlowAndWQ.Station","Discharge..Ml.Day..Mean","WaterTemp.DegC..Mean","pH.Instantaneous","Turbidity..NTU..Mean","DO....saturation..Instantaneous","Sites.ID","RiverName","RiverSystemPart","Segment","Site.Name","Latitude","Longitude","GPS.Coordinates","new.Latitude","new.Longitude","X","Y","Elevation..m..from.DEM","Distance.from.source..m.","Distance.to.Angle.Crossing..m.","Distance_old","Sites.Source","AKA","Type","Slope","Width","Depth","Description","Fishing.Access","Seg","Field0","ageOL","hatchdoy","incTime","spawn","nestdist","cladeNo.x","cladeNo.y","clade"
"B2013117-191","B2013117-191","191","797","A7","M. peelii","C:\DBImages\Larva\191.jpg","11.102","11.515","NA","Alan Couch","","NA","-24.12","17.33","3.20","0.99","Wild caught Murrumbidgee","10-Feb-14","2013A","A"," 7","NA","191","2","280","220","C:\DBImages\O1\O1_0191.jpg","300","1.27","11","290","210","C:\DBImages\O2\O2C_0044.jpg","1.38","11","C"," 9","D","4.0","0.2850","","11.0","10-Feb-14","16.73","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528","373.5"," 965124"," 27","NA","NA","NA","","21.53","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.3","19.42","7.312"," 5.465","95.18","5","Murrumbidgee","NA","NA","Bullen Range","-35.38","149.0","S35°22’34.60”, E148°59’08.40”","-35.37","149.0","680235","6083618","527.4","231917","34906","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing","16.734","294.3"," 7.717","286.5","25162"," 6"," 6","hB1"
"B2013117-192","B2013117-192","192","797","A8","M. peelii","C:\DBImages\Larva\192.jpg","10.551","10.943","NA","Alan Couch","","NA","-23.18","17.08","3.24","0.71","Wild caught Murrumbidgee","10-Feb-14","2013A","A"," 8","NA","192","2","230","180","C:\DBImages\O1\O1_0192.jpg","240","1.28","NA","245","170","C:\DBImages\O2\O2C_0045.jpg","1.44","10","C","10","D","3.5","0.2375","","  NA","10-Feb-14","13.20","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528","373.5"," 965124"," 27","NA","NA","NA","","21.53","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.3","19.42","7.312"," 5.465","95.18","5","Murrumbidgee","NA","NA","Bullen Range","-35.38","149.0","S35°22’34.60”, E148°59’08.40”","-35.37","149.0","680235","6083618","527.4","231917","34906","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing","13.205","297.8"," 7.717","290.1","28696"," 6"," 6","hB1"
"B2013117-193","B2013117-193","193","797","A9","M. peelii","C:\DBImages\Larva\193.jpg","10.919","11.325","NA","Alan Couch","","NA","-24.01","17.31","3.20","1.04","Wild caught Murrumbidgee","10-Feb-14","2013A","A"," 9","NA","193","2","260","200","C:\DBImages\O1\O1_0193.jpg","280","1.30","NA","270","200","C:\DBImages\O2\O2C_0046.jpg","1.35"," 6","C","11","D","4.0","0.2650","","  NA","10-Feb-14","15.25","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528","373.5"," 965124"," 27","NA","NA","NA","","21.53","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.3","19.42","7.312"," 5.465","95.18","5","Murrumbidgee","NA","NA","Bullen Range","-35.38","149.0","S35°22’34.60”, E148°59’08.40”","-35.37","149.0","680235","6083618","527.4","231917","34906","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing","15.248","295.8"," 7.717","288.0","26650"," 6"," 6","hB1"
"B2013117-194","B2013117-194","194","797","A10","M. peelii","C:\DBImages\Larva\194.jpg","10.868","11.272","NA","Alan Couch","","NA","-22.92","16.24","3.22","0.79","Wild caught Murrumbidgee","10-Feb-14","2013A","A","10","NA","194","2","210","140","C:\DBImages\O1\O1_0194.jpg","170","1.50","NA","205","160","C:\DBImages\O2\O2C_0047.jpg","1.28"," 8","C","12","D"," NA","0.2075","","  NA","10-Feb-14","10.98","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528","373.5"," 965124"," 27","NA","NA","NA","","21.53","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.3","19.42","7.312"," 5.465","95.18","5","Murrumbidgee","NA","NA","Bullen Range","-35.38","149.0","S35°22’34.60”, E148°59’08.40”","-35.37","149.0","680235","6083618","527.4","231917","34906","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing","10.975","300.0"," 7.717","292.3","30927"," 3"," 3","hK1"
"B2013117-195","B2013117-195","195","797","A11","M. peelii","C:\DBImages\Larva\195.jpg","10.412","10.799","NA","Alan Couch","","NA","-23.53","16.57","3.29","0.63","Wild caught Murrumbidgee","10-Feb-14","2013A","A","11","NA","195","2","205","160","C:\DBImages\O1\O1_0195.jpg","200","1.28","NA","195","155","C:\DBImages\O2\O2C_0048.jpg","1.26"," 7","C","13","D"," NA","0.2000","","  NA","10-Feb-14","10.42","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528","373.5"," 965124"," 27","NA","NA","NA","","21.53","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.3","19.42","7.312"," 5.465","95.18","5","Murrumbidgee","NA","NA","Bullen Range","-35.38","149.0","S35°22’34.60”, E148°59’08.40”","-35.37","149.0","680235","6083618","527.4","231917","34906","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing","10.418","300.6"," 7.717","292.9","31485"," 3"," 3","hK1"
"B2013117-196","B2013117-196","196","797","A12","M. peelii","C:\DBImages\Larva\196.jpg","10.605","11.000","NA","Alan Couch","","NA","-23.17","12.98","3.29","0.68","Wild caught Murrumbidgee","10-Feb-14","2013A","A","12","NA","196","2","190","190","C:\DBImages\O1\O1_0196.jpg","200","1.00","NA","190","155","C:\DBImages\O2\O2D_0001.jpg","1.23"," 7","D"," 1","A"," NA","0.1900","","  NA","10-Feb-14"," 9.67","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528","373.5"," 965124"," 27","NA","NA","NA","","21.53","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.3","19.42","7.312"," 5.465","95.18","5","Murrumbidgee","NA","NA","Bullen Range","-35.38","149.0","S35°22’34.60”, E148°59’08.40”","-35.37","149.0","680235","6083618","527.4","231917","34906","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing"," 9.675","301.3"," 7.717","293.6","32229"," 1"," 1","hN1"
"B2013117-197","B2013117-197","197","797","B12","M. peelii","C:\DBImages\Larva\197.tif","10.280","10.662","NA","Alan Couch","","NA","-24.88","11.51","3.31","0.44","Wild caught Murrumbidgee","10-Feb-14","2013A","B","12","NA","197","2","210","150","C:\DBImages\O1\O1_0197.jpg","210","1.40"," 6","220","160","C:\DBImages\O2\O2D_0002.jpg","1.38"," 6","D"," 2","A"," NA","0.2150",""," 6.0","10-Feb-14","11.53","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528","373.5"," 965124"," 27","NA","NA","NA","","21.53","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.3","19.42","7.312"," 5.465","95.18","5","Murrumbidgee","NA","NA","Bullen Range","-35.38","149.0","S35°22’34.60”, E148°59’08.40”","-35.37","149.0","680235","6083618","527.4","231917","34906","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing","11.533","299.5"," 7.717","291.8","30369"," 8"," 8","hK3"
"B2013117-198","B2013117-198","198","797","B11","M. peelii","C:\DBImages\Larva\198.tif","11.149","11.564","NA","Alan Couch","","NA","-24.22","17.22","3.19","1.04","Wild caught Murrumbidgee","10-Feb-14","2013A","B","11","NA","198","2","270","220","C:\DBImages\O1\O1_0198.jpg","290","1.23","11","275","200","C:\DBImages\O2\O2D_0003.jpg","1.38"," 9","D"," 3","A"," NA","0.2725","","10.0","10-Feb-14","15.81","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528","373.5"," 965124"," 27","NA","NA","NA","","21.53","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.3","19.42","7.312"," 5.465","95.18","5","Murrumbidgee","NA","NA","Bullen Range","-35.38","149.0","S35°22’34.60”, E148°59’08.40”","-35.37","149.0","680235","6083618","527.4","231917","34906","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing","15.805","295.2"," 7.717","287.5","26092"," 6"," 6","hB1"
"B2013117-199","B2013117-199","199","797","B10","M. peelii","C:\DBImages\Larva\199.tif","10.010","10.382","NA","Alan Couch","abdominal bulge","NA","-22.99","16.16","3.29","0.73","Wild caught Murrumbidgee","10-Feb-14","2013A","B","10","NA","199","2","210","170","C:\DBImages\O1\O1_0199.jpg","210","1.24","11","210","160","C:\DBImages\O2\O2D_0004.jpg","1.31","11","D"," 4","A"," NA","0.2100","abdominal bulge","11.0","10-Feb-14","11.16","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528","373.5"," 965124"," 27","NA","NA","NA","","21.53","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.3","19.42","7.312"," 5.465","95.18","5","Murrumbidgee","NA","NA","Bullen Range","-35.38","149.0","S35°22’34.60”, E148°59’08.40”","-35.37","149.0","680235","6083618","527.4","231917","34906","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing","11.161","299.8"," 7.717","292.1","30741"," 3"," 3","hK1"
"K20131111-225","K20131111-225","225","802","D8","M. peelii","C:\DBImages\Larva\225.tif","10.020","10.393","NA","Alan Couch","","NA","-24.62","14.11","3.22","0.77","Wild caught Murrumbidgee","10-Feb-14","2013A","D"," 8","NA","225","2","355","230","C:\DBImages\O1\O1_0225.jpg","370","1.54","NA","340","225","C:\DBImages\O2\O2D_0030.jpg","1.51","NA","D"," 3","C"," NA","0.3475","","  NA","10-Feb-14","21.38","802","11-Nov-13","Drift net 6","00-Jan-00","515243","516320","1077","17.4","  NA","00-Jan-00","1086647","1087222","575","added a mill","TRUE"," TRUE"," TRUE","Half contents lost at live pick…","","11/11/2013 16:20","12/11/2013 10:45","18:25","12-Nov-13","","NA","571979","31777","826.0","1825460","  1","NA","NA"," 1","","18.42","NA","2013","315","12-Nov-13","Kambah Pool","969","11-Nov-13","Angle Crossing"," 303.0","15.30","7.498"," 5.450","92.98","4","Murrumbidgee","NA","NA","Kambah Pool","-35.40","149.0","S35°24’02.04”, E149°00’52.54”","-35.40","149.0","682959","6080670","554.0","229890","28825","29854","M2G Project Information Document","Kambah","Sample","0.23","37","7.0","Low gradient, confined valley","9","29","Angle Crossing","21.378","293.6","10.465","283.2","14432","11","11","hK5"
"K20131113-227","K20131113-227","227","805","D6","M. peelii","C:\DBImages\Larva\227.tif","11.936","12.380","NA","Alan Couch","C and N may be wrong and need redoing","NA","-23.62","12.39","2.70","0.84","Wild caught Murrumbidgee","10-Feb-14","2013A","D"," 6","NA","227","2","340","250","C:\DBImages\O1\O1_0227.jpg","340","1.36","10","345","240","C:\DBImages\O2\O2D_0032.jpg","1.44","10","D"," 5","C"," NA","0.3425","","10.0","10-Feb-14","21.01","805","13-Nov-13","Drift net 6","00-Jan-00"," 87261"," 88107"," 846","18.3","  NA","00-Jan-00","     NA","     NA"," NA","Could not get out until 15th because of high flow danger. BUT pull date is calculated :(","TRUE"," TRUE"," TRUE","Lots collected.
32 in least bad bottle. 
104 in worse bottle","","13/11/2013 17:01","14/11/2013 17:01","0:00","14-Nov-13","","NA","    NA","   NA","   NA","     NA","136","NA","NA","NA","","24.00","NA","2013","317","20-Nov-13","Kambah Pool","971","13-Nov-13","Angle Crossing"," 448.9","15.98","7.618"," 7.301","96.45","4","Murrumbidgee","NA","NA","Kambah Pool","-35.40","149.0","S35°24’02.04”, E149°00’52.54”","-35.40","149.0","682959","6080670","554.0","229890","28825","29854","M2G Project Information Document","Kambah","Sample","0.23","37","7.0","Low gradient, confined valley","9","29","Angle Crossing","21.007","296.0","10.014","286.0","14804","10","10","hK4"
"K20131113-228","K20131113-228","228","805","D5","M. peelii","C:\DBImages\Larva\228.tif","10.582","10.976","NA","Alan Couch","","NA","-24.33","13.59","3.32","0.61","Wild caught Murrumbidgee","10-Feb-14","2013A","D"," 5","NA","228","2","320","270","C:\DBImages\O1\O1_0228.jpg","320","1.19","NA","315","240","C:\DBImages\O2\O2D_0033.jpg","1.31","NA","D"," 6","C"," NA","0.3175","","  NA","10-Feb-14","19.15","805","13-Nov-13","Drift net 6","00-Jan-00"," 87261"," 88107"," 846","18.3","  NA","00-Jan-00","     NA","     NA"," NA","Could not get out until 15th because of high flow danger. BUT pull date is calculated :(","TRUE"," TRUE"," TRUE","Lots collected.
32 in least bad bottle. 
104 in worse bottle","","13/11/2013 17:01","14/11/2013 17:01","0:00","14-Nov-13","","NA","    NA","   NA","   NA","     NA","136","NA","NA","NA","","24.00","NA","2013","317","20-Nov-13","Kambah Pool","971","13-Nov-13","Angle Crossing"," 448.9","15.98","7.618"," 7.301","96.45","4","Murrumbidgee","NA","NA","Kambah Pool","-35.40","149.0","S35°24’02.04”, E149°00’52.54”","-35.40","149.0","682959","6080670","554.0","229890","28825","29854","M2G Project Information Document","Kambah","Sample","0.23","37","7.0","Low gradient, confined valley","9","29","Angle Crossing","19.149","297.9","10.014","287.8","16664"," 1"," 1","hN1"
"K20131113-229","K20131113-229","229","805","D4","M. peelii","C:\DBImages\Larva\229.tif","11.919","12.362","NA","Alan Couch","","NA","-24.45","13.20","3.22","0.77","Wild caught Murrumbidgee","10-Feb-14","2013A","D"," 4","NA","229","2","340","240","C:\DBImages\O1\O1_0229.jpg","340","1.42","11","340","240","C:\DBImages\O2\O2D_0034.jpg","1.42","NA","D"," 7","C"," NA","0.3400","","11.0","10-Feb-14","20.82","805","13-Nov-13","Drift net 6","00-Jan-00"," 87261"," 88107"," 846","18.3","  NA","00-Jan-00","     NA","     NA"," NA","Could not get out until 15th because of high flow danger. BUT pull date is calculated :(","TRUE"," TRUE"," TRUE","Lots collected.
32 in least bad bottle. 
104 in worse bottle","","13/11/2013 17:01","14/11/2013 17:01","0:00","14-Nov-13","","NA","    NA","   NA","   NA","     NA","136","NA","NA","NA","","24.00","NA","2013","317","20-Nov-13","Kambah Pool","971","13-Nov-13","Angle Crossing"," 448.9","15.98","7.618"," 7.301","96.45","4","Murrumbidgee","NA","NA","Kambah Pool","-35.40","149.0","S35°24’02.04”, E149°00’52.54”","-35.40","149.0","682959","6080670","554.0","229890","28825","29854","M2G Project Information Document","Kambah","Sample","0.23","37","7.0","Low gradient, confined valley","9","29","Angle Crossing","20.821","296.2","10.014","286.2","14990"," 8"," 8","hK3"
