"Label","LarvalID","CollectionEvent","RackNo","Species","LarvaePhoto","LarvaEthanolLength","LarvaLength","KnownAge","CollectedBy","Calculated.Age","Delta13C","Delta15N","CNRatio","BodyWeight","SourceLarvae","LarvalRecords.PlateID","LarvalRecords.Row","LarvalRecords.Column","LarvalRecords.NestID","LarvalRecords.Comments","LarvalRecords.CreatedDate","LarvalOtoliths.LarvaID","OtolithCount","Otolith1Length","Otolith1Width","Otolith1Photo","PatsLength","Ratio1","Otolith1Rings","Otolith2Length","Otolith2Width","Otolith2Photo","Ratio2","Otolith2Rings","AblationSlide","AblationSlideColumn","AblationSlideRow","AblationCentralityScore","MeanOtolithLength","OLEstimateAge","MeanDailyIncrements","LarvalOtoliths.Comments","LarvalOtoliths.CreatedDate","Larva.Collection.ID","Set.Date","Net","Set.Time","Set.Flow.Rotor.Count","Set.30.Seconds.Count","Set.Rotor.Delta","Water.Temperature.on.Set","Water.Temperature.on.Pull","Pull.Time","Pull.Flow.Rotor.Count","Pull.30.sec.Rotor.Count","Pull.Rotor.Delta","Larva.Collection.Comments","Examined","Larvae.Found","Cod.Confirmed","Larvae.Comments","Weather","cSettime","cPulltime","Soak.Time","Pull.Date","Larva.Collection.Source","Depth..m.","Total.Rotor.Delta","Delta.per.Hour","Average.set.and.pull.30.sec.delta","Av.rotor.if.over.whole.soak.time","Maccullochella.larvae","Perca.larvae","Cyprinus.larvae","Other.species","Location","SoakHours","OrigTotalRotor","YearOnly","Day.of.Year","Larva.Collection.CreatedDate","SiteName","ACFlowAndWQ.ID","Datetime","ACFlowAndWQ.Station","DischargeMean","WaterTempMean","pH.Instantaneous","TurbidityMean","DOInstantaneous","Sites.ID","RiverName","RiverSystemPart","Segment","Site.Name","Latitude","Longitude","GPS.Coordinates","new.Latitude","new.Longitude","X","Y","Elevation..m..from.DEM","Distance.from.source..m.","Distance.to.Angle.Crossing..m.","Distance_old","Sites.Source","AKA","Type","Slope","Width","Depth","Description","Fishing.Access","Seg","GoTName","TwoPartName","TwoPartGoTName","ThreePartName","ThreePartGoTName","Field0","Genetics.ID","Genetics.LarvaID","Genetics.PlateID","Genetics.Row","Genetics.Column","raceCladeName","raceCladeNumber","CladeName","cladeNumber","cladeGoTName","Genetics.NestID","NestGoTName","Sibling","Genetics.Comments","Genetics.CreatedDate","ageOL","hatchdoy","incTime","spawn"
"","  4","684","A1","M. peelii","C:\DBImages\NoImage.jpg","    NA","       NA","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","A"," 1","NA","Lostfrom slide after count.","","  4"," 0","290"," NA","C:\DBImages\O1\NoImage.jpg"," NA","  NA"," 9","280"," NA","C:\DBImages\O2\NoImage.jpg","  NA","NA","","NA",""," NA","285.0","16.89"," 9.0","Lostfrom slide after count.","","684","09-Nov-11","Drift net 5","00-Jan-00","443151","    NA","  NA","  NA","   NA","00-Jan-00","     NA"," 454508"," NA","11357","FALSE","FALSE","FALSE","","","9/11/2011 18:00","10/11/2011 9:00","15:00","10-Nov-11",""," NA"," 11357","  757.1333","   NA","     NA"," 73","NA"," 2","NA","Kambah Pool","15.00000","  11357","2011","313","","Kambah Pool"," 313","09-Nov-11","Angle Crossing"," 268.001","21.778","7.270"," 29.660"," 89.100","4","Murrumbidgee","NA","NA","Kambah Pool","-35.40057","149.0146","S35°24’02.04”, E149°00’52.54”","-35.40038","149.0147","682959.3","6080670","554.0","229890.0","28825.0","29854","M2G Project Information Document","Kambah","Sample","0.23","37","7.0","Low gradient, confined valley","9","29","Casterly Rock","Bottom","Westeros","Middle","The Vale","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","17.0997","295.9003"," 6.144074","289.7562"
"K20111110-2a","  5","684","A2","M. peelii","C:\DBImages\NoImage.jpg","    NA","       NA","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","A"," 2","NA","separate slide mounted","","  5"," 2","280"," NA","C:\DBImages\O1\IMG_8876.JPG"," NA","  NA","10","270"," NA","C:\DBImages\O2\NoImage.jpg","  NA","NA","","NA",""," NA","275.0","16.30","10.0","separate slide mounted","","684","09-Nov-11","Drift net 5","00-Jan-00","443151","    NA","  NA","  NA","   NA","00-Jan-00","     NA"," 454508"," NA","11357","FALSE","FALSE","FALSE","","","9/11/2011 18:00","10/11/2011 9:00","15:00","10-Nov-11",""," NA"," 11357","  757.1333","   NA","     NA"," 73","NA"," 2","NA","Kambah Pool","15.00000","  11357","2011","313","","Kambah Pool"," 313","09-Nov-11","Angle Crossing"," 268.001","21.778","7.270"," 29.660"," 89.100","4","Murrumbidgee","NA","NA","Kambah Pool","-35.40057","149.0146","S35°24’02.04”, E149°00’52.54”","-35.40038","149.0147","682959.3","6080670","554.0","229890.0","28825.0","29854","M2G Project Information Document","Kambah","Sample","0.23","37","7.0","Low gradient, confined valley","9","29","Casterly Rock","Bottom","Westeros","Middle","The Vale","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","16.7417","296.2583"," 6.144074","290.1142"
"L20111108-1"," 13","676","A4","M. peelii","C:\DBImages\Larva\L20111108-1.tif","10.500","10.890600","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","A"," 4","NA","Lost.",""," 13"," 0"," NA"," NA","C:\DBImages\O1\NoImage.jpg"," NA","  NA","NA"," NA"," NA","C:\DBImages\O2\NoImage.jpg","  NA","NA","","NA",""," NA","   NA","   NA","  NA","Lost.","","676","07-Nov-11","Eel net","00-Jan-00","    NA","    NA","  NA","  NA","   NA","00-Jan-00","     NA","     NA"," NA","","FALSE","FALSE","FALSE","","","7/11/2011 17:30","8/11/2011 10:00","16:30","08-Nov-11",""," NA","    NA","        NA","   NA","     NA","  3","NA","NA","NA","Lanyon","16.50000","     NA","2011","311","","Lanyon"," 311","07-Nov-11","Angle Crossing"," 252.976","21.566","7.430","  5.901","     NA","2","Murrumbidgee","NA","NA","Lanyon","-35.47798","149.0640","S35°28’40.74”, E149°03’50.46”","-35.47801","149.0640","687251.8","6071990","580.0","231166.7","13980.3","14236","M2G Project Information Document","Jeggerline","Sample","0.08","63","3.5","Low gradient, 
open valley","7","14","The Eyrie","Top","Essos","Upper","The North","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","     NA","      NA"," 6.285478","      NA"
"L20111108-2"," 14","676","A5","M. peelii","C:\DBImages\NoImage.jpg","    NA","       NA","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","A"," 5","NA","1st otolith in microtube.",""," 14"," 1"," NA"," NA","C:\DBImages\O1\NoImage.jpg"," NA","  NA","NA"," NA"," NA","C:\DBImages\O2\NoImage.jpg","  NA","NA","","NA",""," NA","   NA","   NA","  NA","1st otolith in microtube.","","676","07-Nov-11","Eel net","00-Jan-00","    NA","    NA","  NA","  NA","   NA","00-Jan-00","     NA","     NA"," NA","","FALSE","FALSE","FALSE","","","7/11/2011 17:30","8/11/2011 10:00","16:30","08-Nov-11",""," NA","    NA","        NA","   NA","     NA","  3","NA","NA","NA","Lanyon","16.50000","     NA","2011","311","","Lanyon"," 311","07-Nov-11","Angle Crossing"," 252.976","21.566","7.430","  5.901","     NA","2","Murrumbidgee","NA","NA","Lanyon","-35.47798","149.0640","S35°28’40.74”, E149°03’50.46”","-35.47801","149.0640","687251.8","6071990","580.0","231166.7","13980.3","14236","M2G Project Information Document","Jeggerline","Sample","0.08","63","3.5","Low gradient, 
open valley","7","14","The Eyrie","Top","Essos","Upper","The North","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","     NA","      NA"," 6.285478","      NA"
"L20111108-3"," 15","676","A6","M. peelii","C:\DBImages\Larva\L20111108-3.tif","10.500","10.890600","NA","Anu Datta","NA","-23.40","13.70","3.80","  NA","Wild caught Murrumbidgee","2011A","A"," 6","NA","Otolith on slide",""," 15"," 2","175"," NA","C:\DBImages\O1\NoImage.jpg"," NA","  NA","NA","170"," NA","C:\DBImages\O2\NoImage.jpg","  NA","NA","","NA",""," NA","172.5","10.24","  NA","Otolith on slide","","676","07-Nov-11","Eel net","00-Jan-00","    NA","    NA","  NA","  NA","   NA","00-Jan-00","     NA","     NA"," NA","","FALSE","FALSE","FALSE","","","7/11/2011 17:30","8/11/2011 10:00","16:30","08-Nov-11",""," NA","    NA","        NA","   NA","     NA","  3","NA","NA","NA","Lanyon","16.50000","     NA","2011","311","","Lanyon"," 311","07-Nov-11","Angle Crossing"," 252.976","21.566","7.430","  5.901","     NA","2","Murrumbidgee","NA","NA","Lanyon","-35.47798","149.0640","S35°28’40.74”, E149°03’50.46”","-35.47801","149.0640","687251.8","6071990","580.0","231166.7","13980.3","14236","M2G Project Information Document","Jeggerline","Sample","0.08","63","3.5","Low gradient, 
open valley","7","14","The Eyrie","Top","Essos","Upper","The North","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","13.0722","297.9278"," 6.285478","291.6423"
"L20111108-4"," 16","678","A7","M. peelii","C:\DBImages\Larva\L20111108-4.tif","10.700","11.098040","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","A"," 7","NA","Slide mounted",""," 16"," 2","220"," NA","C:\DBImages\O1\NoImage.jpg"," NA","  NA","NA","200"," NA","C:\DBImages\O2\NoImage.jpg","  NA","NA","","NA",""," NA","210.0","12.46","  NA","Slide mounted","","678","07-Nov-11","Drift net 3","00-Jan-00","726728","    NA","  NA","  NA","   NA","00-Jan-00","     NA"," 754958"," NA","28230","FALSE","FALSE","FALSE","","","7/11/2011 18:00","8/11/2011 9:30","15:30","08-Nov-11",""," NA"," 28230"," 1882.0000","   NA","     NA","  0","NA","NA","NA","Lanyon","15.50000","  28230","2011","311","","Lanyon"," 311","07-Nov-11","Angle Crossing"," 252.976","21.566","7.430","  5.901","     NA","2","Murrumbidgee","NA","NA","Lanyon","-35.47798","149.0640","S35°28’40.74”, E149°03’50.46”","-35.47801","149.0640","687251.8","6071990","580.0","231166.7","13980.3","14236","M2G Project Information Document","Jeggerline","Sample","0.08","63","3.5","Low gradient, 
open valley","7","14","The Eyrie","Top","Essos","Upper","The North","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","14.4147","296.5853"," 6.285478","290.2998"
"L20111108-5"," 17","678","A8","M. peelii","C:\DBImages\Larva\L20111108-5.tif","11.000","11.409200","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","A"," 8","NA","# 5 Slide mounted
11 rings before polishing

only 1 sagittae
other no rings much",""," 17"," 1","210"," NA","C:\DBImages\O1\NoImage.jpg"," NA","  NA","11"," NA"," NA","C:\DBImages\O2\NoImage.jpg","  NA","NA","","NA",""," NA","210.0","12.46","11.0","# 5 Slide mounted
11 rings before polishing

only 1 sagittae
other no rings much","","678","07-Nov-11","Drift net 3","00-Jan-00","726728","    NA","  NA","  NA","   NA","00-Jan-00","     NA"," 754958"," NA","28230","FALSE","FALSE","FALSE","","","7/11/2011 18:00","8/11/2011 9:30","15:30","08-Nov-11",""," NA"," 28230"," 1882.0000","   NA","     NA","  0","NA","NA","NA","Lanyon","15.50000","  28230","2011","311","","Lanyon"," 311","07-Nov-11","Angle Crossing"," 252.976","21.566","7.430","  5.901","     NA","2","Murrumbidgee","NA","NA","Lanyon","-35.47798","149.0640","S35°28’40.74”, E149°03’50.46”","-35.47801","149.0640","687251.8","6071990","580.0","231166.7","13980.3","14236","M2G Project Information Document","Jeggerline","Sample","0.08","63","3.5","Low gradient, 
open valley","7","14","The Eyrie","Top","Essos","Upper","The North","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","14.4147","296.5853"," 6.285478","290.2998"
"L20111108-6"," 18","678","","","C:\DBImages\Larva\L20111108-6.tif","11.000","11.409200","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","","NA","NA","Fish only A1 in fish rack",""," 18","NA"," NA"," NA","C:\DBImages\O1\NoImage.jpg"," NA","  NA","NA"," NA"," NA","C:\DBImages\O2\NoImage.jpg","  NA","NA","","NA",""," NA","   NA","   NA","  NA","Fish only A1 in fish rack","","678","07-Nov-11","Drift net 3","00-Jan-00","726728","    NA","  NA","  NA","   NA","00-Jan-00","     NA"," 754958"," NA","28230","FALSE","FALSE","FALSE","","","7/11/2011 18:00","8/11/2011 9:30","15:30","08-Nov-11",""," NA"," 28230"," 1882.0000","   NA","     NA","  0","NA","NA","NA","Lanyon","15.50000","  28230","2011","311","","Lanyon"," 311","07-Nov-11","Angle Crossing"," 252.976","21.566","7.430","  5.901","     NA","2","Murrumbidgee","NA","NA","Lanyon","-35.47798","149.0640","S35°28’40.74”, E149°03’50.46”","-35.47801","149.0640","687251.8","6071990","580.0","231166.7","13980.3","14236","M2G Project Information Document","Jeggerline","Sample","0.08","63","3.5","Low gradient, 
open valley","7","14","The Eyrie","Top","Essos","Upper","The North","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","     NA","      NA"," 6.285478","      NA"
"K20111110-1"," 19","684","A9","M. peelii","C:\DBImages\NoImage.jpg","11.000","11.409200","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","A"," 9","NA","nonsag otolith on slide",""," 19"," 1"," NA"," NA","C:\DBImages\O1\NoImage.jpg"," NA","  NA","NA"," NA"," NA","C:\DBImages\O2\NoImage.jpg","  NA","NA","","NA",""," NA","   NA","   NA","  NA","nonsag otolith on slide","","684","09-Nov-11","Drift net 5","00-Jan-00","443151","    NA","  NA","  NA","   NA","00-Jan-00","     NA"," 454508"," NA","11357","FALSE","FALSE","FALSE","","","9/11/2011 18:00","10/11/2011 9:00","15:00","10-Nov-11",""," NA"," 11357","  757.1333","   NA","     NA"," 73","NA"," 2","NA","Kambah Pool","15.00000","  11357","2011","313","","Kambah Pool"," 313","09-Nov-11","Angle Crossing"," 268.001","21.778","7.270"," 29.660"," 89.100","4","Murrumbidgee","NA","NA","Kambah Pool","-35.40057","149.0146","S35°24’02.04”, E149°00’52.54”","-35.40038","149.0147","682959.3","6080670","554.0","229890.0","28825.0","29854","M2G Project Information Document","Kambah","Sample","0.23","37","7.0","Low gradient, confined valley","9","29","Casterly Rock","Bottom","Westeros","Middle","The Vale","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","     NA","      NA"," 6.144074","      NA"
"K20111110"," 20","684","A10","M. peelii","C:\DBImages\NoImage.jpg","    NA","       NA","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","A","10","NA","Practice in haemotcrit lost",""," 20","NA"," NA"," NA","C:\DBImages\O1\NoImage.jpg"," NA","  NA","NA"," NA"," NA","C:\DBImages\O2\NoImage.jpg","  NA","NA","","NA",""," NA","   NA","   NA","  NA","Practice in haemotcrit lost","","684","09-Nov-11","Drift net 5","00-Jan-00","443151","    NA","  NA","  NA","   NA","00-Jan-00","     NA"," 454508"," NA","11357","FALSE","FALSE","FALSE","","","9/11/2011 18:00","10/11/2011 9:00","15:00","10-Nov-11",""," NA"," 11357","  757.1333","   NA","     NA"," 73","NA"," 2","NA","Kambah Pool","15.00000","  11357","2011","313","","Kambah Pool"," 313","09-Nov-11","Angle Crossing"," 268.001","21.778","7.270"," 29.660"," 89.100","4","Murrumbidgee","NA","NA","Kambah Pool","-35.40057","149.0146","S35°24’02.04”, E149°00’52.54”","-35.40038","149.0147","682959.3","6080670","554.0","229890.0","28825.0","29854","M2G Project Information Document","Kambah","Sample","0.23","37","7.0","Low gradient, confined valley","9","29","Casterly Rock","Bottom","Westeros","Middle","The Vale","Angle Crossing"," 1","20","NA","NA","NA","NA","NA","test","NA","NA","NA","NA","NA","NA","30-Jul-15","     NA","      NA"," 6.144074","      NA"
