*,185_744505,185_745093,186_744506,186_745101,187-coll832-trial1_767271,187-coll832-trial1_769250,187_744507,187_745109,188-coll832-trial1_767272,188-coll832-trial1_769251,188_744508,188_745117,189-coll853-trial1_767273,189-coll853-trial1_769252,189_744509,190-coll853-trial1_767274,190-coll853-trial1_769253,190_744510,191_744511,192_744512,193_744513,194_744514,195_744515,196_744516,197_744528,198_744527,199_744526,200_744525,201_744524,202_744523,203_744522,204_744521,205_744520,205_745118,206_744519,206_745110,207_744518,207_745102,208_744517,208_745094,209_744529,209_745095,210_744530,210_745103,211_744531,211_745111,212_744532,212_745119,213_744533,214_744534,215_744535,216_744536,217_744537,218_744538,219_744539,220_744540,221-coll801-trial1_767270,222-coll801-trial1_767269,222-coll801-trial1_769248,223_744550,224_744549,225_744548,226_744547,227_744546,228_744545,229_744544,229_745120,230_744543,230_745112,231_744542,231_745104,232_744541,232_745096,233_744553,233_745097,234_744554,234_745105,235_744555,235_745113,236_744556,236_745121,237_744557,238_744558,239_744559,240_744560,241_744561,242_744562,243_744563,244_744564,245_744576,246_744575,247_744574,248_744573,249_744572,250_744571,251_744570,252_744569,253_744568,253_745122,254_744567,254_745114,255_744566,255_745106,256_744565,256_745098,257_744577,257_745099,258_744578,258_745107,259_744579,259_745115,260_744580,260_745123,261_744581,262_744582,263_744583,264_744584,265_744585,266_744586,267_744587,268_744551,269_744552,270_744598,271_744597,272_744596,273_744595,274_744594,275_744593,276_744592,277_744591,277_745124,278_744590,278_745116,279_744589,279_745108,280_744588,280_745100,864_767280,864_769259,869_767286,869_769265,corin-trial1_769254,narranderah-trial1_767276,narranderah-trial1_769255
185_744505,0,0.007006,0.021421,0.022301,0.030273,0.030048,0.020209,0.019583,0.033707,0.033022,0.024002,0.025148,0.03691,0.036324,0.021353,0.033078,0.033882,0.022767,0.032496,0.027963,0.030604,0.029713,0.027272,0.031606,0.029145,0.02988,0.031952,0.022294,0.023529,0.032668,0.033246,0.021117,0.022903,0.023795,0.035281,0.035298,0.03317,0.033858,0.032101,0.03086,0.030576,0.032025,0.032368,0.032316,0.032414,0.032262,0.031205,0.031086,0.034288,0.032566,0.033434,0.030331,0.032376,0.033953,0.033474,0.031732,0.033774,0.031936,0.03098,0.029989,0.035378,0.035318,0.034825,0.032058,0.036026,0.031551,0.030816,0.029545,0.028442,0.028521,0.028641,0.03407,0.035295,0.03087,0.031877,0.031071,0.032084,0.030567,0.030412,0.033115,0.032426,0.036999,0.029636,0.030602,0.03447,0.032287,0.037025,0.033582,0.032243,0.034966,0.032401,0.032906,0.055556,0.050725,0.033243,0.117647,0.020833,0,0.035714,0.032368,0.032856,0.031727,0.03222,0.035009,0.034793,0.033294,0.034338,0.032926,0.032167,0.030128,0.030863,0.030756,0.030952,0.029082,0.14918,0.031313,0.031152,0.028971,0.031204,0.031659,0.033165,0.437487,0.032239,0.031376,0.032018,0.035024,0.03116,0.030854,0.030922,0.030936,0.030502,0.032302,0.032967,0.031966,0.033575,0.030581,0.030718,0.033743,0.034367,0.030452,0.030075,0.876672,0.880794,0.88009
185_745093,0.007006,0,0.022963,0.023147,0.030288,0.030768,0.020712,0.020464,0.033695,0.033695,0.024861,0.025703,0.03654,0.035361,0.020897,0.033072,0.033682,0.02344,0.032689,0.02876,0.030983,0.030889,0.0277,0.031606,0.029587,0.03018,0.032704,0.023698,0.023576,0.033532,0.034232,0.021801,0.024158,0.024413,0.035835,0.035264,0.033116,0.034064,0.032335,0.032461,0.031223,0.032085,0.033337,0.032914,0.032606,0.032881,0.032672,0.031533,0.03511,0.033511,0.03368,0.03082,0.033652,0.034029,0.033874,0.032389,0.034267,0.032666,0.032139,0.030587,0.03654,0.035853,0.034794,0.032797,0.037177,0.032526,0.031752,0.029553,0.028672,0.029364,0.029657,0.03404,0.03533,0.031027,0.031998,0.031669,0.03279,0.031675,0.031438,0.033268,0.032873,0.037103,0.030474,0.03191,0.035093,0.033118,0.037165,0.034091,0.032672,0.03607,0.033371,0.033972,0.053097,0.051471,0.033121,0.129032,0.021277,0,0.05,0.03272,0.032906,0.032924,0.03325,0.034513,0.034714,0.033754,0.033576,0.033691,0.033247,0.030922,0.031128,0.031883,0.031891,0.029748,0.150062,0.031558,0.031665,0.030134,0.032278,0.033043,0.034318,0.436885,0.033086,0.032042,0.032624,0.035014,0.032536,0.031775,0.031451,0.031857,0.031626,0.033111,0.033597,0.03261,0.033517,0.032211,0.031817,0.033689,0.034359,0.031094,0.030608,0.87605,0.879842,0.879011
186_744506,0.021421,0.022963,0,0.008604,0.030045,0.028534,0.023148,0.022529,0.032364,0.032189,0.020722,0.022976,0.037706,0.036905,0.019069,0.033435,0.033035,0.023296,0.030769,0.030412,0.029131,0.032349,0.029621,0.031957,0.029659,0.029878,0.032093,0.024162,0.022752,0.033782,0.033422,0.022774,0.02414,0.024763,0.036011,0.035649,0.032776,0.032461,0.03372,0.033134,0.031744,0.032821,0.033578,0.03261,0.034534,0.035316,0.030828,0.030433,0.03361,0.03221,0.033844,0.030479,0.031893,0.032919,0.032848,0.033207,0.034226,0.031624,0.030919,0.030412,0.034893,0.035222,0.032705,0.031085,0.036484,0.032498,0.033094,0.030111,0.030316,0.030239,0.029688,0.033922,0.034732,0.029746,0.03208,0.030405,0.03169,0.032063,0.032024,0.034009,0.033698,0.03542,0.031296,0.031036,0.034689,0.031586,0.037941,0.028536,0.032755,0.036162,0.031221,0.028986,0.04661,0.061594,0.031805,0.102941,0.020408,0.166667,0.068182,0.03386,0.03413,0.031546,0.031688,0.032433,0.03218,0.034766,0.035737,0.031982,0.031295,0.031087,0.032677,0.034532,0.034956,0.031099,0.151547,0.032176,0.030782,0.030906,0.032033,0.033216,0.035494,0.436024,0.03079,0.030199,0.032244,0.034121,0.02996,0.030956,0.031534,0.030052,0.030288,0.030823,0.033144,0.029365,0.03143,0.032516,0.032568,0.032287,0.033037,0.031799,0.031309,0.873492,0.876392,0.876301
186_745101,0.022301,0.023147,0.008604,0,0.030238,0.029254,0.024297,0.023617,0.033555,0.032622,0.022421,0.022861,0.038188,0.038004,0.019949,0.033774,0.033991,0.024545,0.031621,0.031492,0.029953,0.033032,0.030037,0.0336,0.030518,0.030461,0.034103,0.024476,0.022645,0.034773,0.034054,0.024113,0.02458,0.024625,0.03602,0.035032,0.033928,0.033593,0.034678,0.034423,0.033231,0.034203,0.034929,0.035014,0.034752,0.036412,0.032649,0.031506,0.034616,0.033506,0.03413,0.031689,0.034587,0.034527,0.03428,0.034166,0.035581,0.032815,0.032337,0.03141,0.035891,0.036428,0.034792,0.032926,0.037458,0.034353,0.033025,0.031035,0.03125,0.030745,0.030245,0.035213,0.036297,0.031676,0.032513,0.032012,0.033438,0.032888,0.032834,0.033945,0.035124,0.03578,0.031542,0.03378,0.035181,0.033146,0.039333,0.024173,0.032182,0.036657,0.033017,0.03065,0.047826,0.052239,0.032981,0.078125,0.021739,0,0.04878,0.033913,0.034439,0.033219,0.032904,0.03415,0.034228,0.035003,0.034886,0.033513,0.03328,0.032856,0.033945,0.034688,0.035029,0.032757,0.155634,0.032664,0.032542,0.032441,0.034192,0.033656,0.036808,0.435948,0.032137,0.030681,0.03411,0.035489,0.031693,0.031638,0.033432,0.029687,0.03125,0.031844,0.032943,0.030532,0.031254,0.033892,0.033848,0.032917,0.03389,0.033434,0.032807,0.873671,0.876436,0.876537
187-coll832-trial1_767271,0.030273,0.030288,0.030045,0.030238,0,0.007247,0.030996,0.030056,0.030015,0.030832,0.02951,0.029528,0.035404,0.035603,0.029229,0.033344,0.034347,0.032012,0.033306,0.030206,0.033421,0.032788,0.031918,0.032699,0.029761,0.032532,0.033829,0.029655,0.031976,0.033434,0.033159,0.031351,0.032704,0.032957,0.037642,0.036641,0.031886,0.031462,0.032511,0.033193,0.031558,0.031801,0.036007,0.035443,0.033072,0.032738,0.03197,0.030767,0.033326,0.032639,0.034653,0.032178,0.035778,0.034441,0.032656,0.035058,0.020634,0.033461,0.034125,0.031821,0.035987,0.037391,0.034001,0.031574,0.035044,0.033246,0.033493,0.030328,0.030139,0.03026,0.030256,0.033502,0.034784,0.031865,0.03215,0.030738,0.03179,0.032582,0.033156,0.031577,0.032954,0.035187,0.033249,0.031288,0.035999,0.031758,0.03651,0.035,0.031772,0.037802,0.03176,0.031359,0.048246,0.052239,0.031497,0.112903,0.021277,0,0.0875,0.030027,0.031157,0.029197,0.029964,0.034315,0.033322,0.032248,0.034954,0.035896,0.033733,0.029087,0.028818,0.034137,0.03405,0.030443,0.152571,0.032367,0.033069,0.034101,0.032653,0.030035,0.034401,0.435445,0.031685,0.031205,0.033377,0.035258,0.033304,0.031514,0.031389,0.031383,0.030935,0.032943,0.034464,0.032048,0.033735,0.031353,0.031368,0.030145,0.030592,0.030857,0.031585,0.876352,0.880848,0.880486
187-coll832-trial1_769250,0.030048,0.030768,0.028534,0.029254,0.007247,0,0.028934,0.02917,0.02969,0.0295,0.0275,0.028217,0.035253,0.034526,0.028571,0.032845,0.033707,0.031581,0.032529,0.029035,0.03222,0.032172,0.031137,0.031642,0.028885,0.031579,0.032944,0.029002,0.030382,0.032782,0.032671,0.030097,0.031879,0.033009,0.03719,0.037275,0.031438,0.032063,0.031849,0.031884,0.030761,0.031716,0.035566,0.03496,0.033036,0.031934,0.031267,0.031182,0.033462,0.031401,0.033861,0.031298,0.035555,0.033859,0.032081,0.033954,0.020987,0.033632,0.033021,0.031767,0.035337,0.035601,0.033474,0.030011,0.035487,0.033068,0.033432,0.029455,0.030314,0.030368,0.029773,0.033558,0.034522,0.030864,0.032009,0.030985,0.03153,0.031697,0.032099,0.031959,0.032472,0.035568,0.032775,0.030758,0.034017,0.030992,0.036195,0.031407,0.0322,0.037522,0.03109,0.030246,0.048673,0.048507,0.030323,0.083333,0.021739,0,0.064103,0.029609,0.030779,0.028413,0.028803,0.0343,0.033032,0.032222,0.035013,0.034666,0.033224,0.028028,0.029021,0.034275,0.034063,0.030731,0.150787,0.031571,0.03214,0.032874,0.032792,0.029759,0.033725,0.434064,0.030332,0.030209,0.031545,0.03454,0.031523,0.031089,0.031055,0.031283,0.030925,0.03216,0.032773,0.030954,0.03237,0.030249,0.030159,0.030033,0.030432,0.031179,0.03054,0.876009,0.880237,0.879743
187_744507,0.020209,0.020712,0.023148,0.024297,0.030996,0.028934,0,0.009092,0.032979,0.032573,0.021153,0.022124,0.038981,0.037835,0.022533,0.034764,0.035436,0.023875,0.031079,0.028495,0.030866,0.029422,0.027851,0.033505,0.030272,0.030411,0.029552,0.022225,0.023428,0.035132,0.033817,0.021599,0.024106,0.024509,0.035018,0.035705,0.035194,0.035325,0.033586,0.033155,0.032624,0.033049,0.033951,0.033613,0.034331,0.034577,0.033198,0.031544,0.034836,0.034018,0.03414,0.030317,0.034829,0.03536,0.034793,0.033689,0.03664,0.032131,0.031654,0.031713,0.036304,0.034661,0.035397,0.032659,0.037386,0.034093,0.033241,0.029616,0.030129,0.029106,0.028852,0.035031,0.03608,0.03086,0.032308,0.031352,0.032908,0.03185,0.031281,0.034364,0.03488,0.036355,0.032274,0.031049,0.035013,0.034216,0.036767,0.0325,0.033274,0.036885,0.031332,0.0313,0.042735,0.068345,0.033133,0.075758,0.03125,0.166667,0.046512,0.034673,0.035603,0.03273,0.032995,0.034666,0.034703,0.03511,0.035354,0.033437,0.032266,0.032147,0.032881,0.031407,0.031059,0.029797,0.150603,0.031086,0.03244,0.030646,0.032482,0.031719,0.036453,0.437583,0.031558,0.030418,0.033179,0.03474,0.031839,0.030276,0.030737,0.032279,0.031644,0.031166,0.032881,0.030168,0.030616,0.03014,0.030349,0.035146,0.034805,0.030181,0.030618,0.876156,0.879731,0.878626
187_745109,0.019583,0.020464,0.022529,0.023617,0.030056,0.02917,0.009092,0,0.030944,0.032018,0.02176,0.02115,0.037877,0.037022,0.022224,0.03355,0.033857,0.02367,0.031176,0.028933,0.03073,0.029634,0.028016,0.033164,0.029797,0.029508,0.029517,0.022241,0.023892,0.035264,0.034341,0.020583,0.024315,0.023272,0.034527,0.034746,0.034957,0.035035,0.032745,0.032837,0.031776,0.031881,0.03407,0.032877,0.035381,0.033954,0.033291,0.030975,0.034208,0.032206,0.033528,0.031217,0.033051,0.033737,0.034296,0.032691,0.032787,0.031421,0.03218,0.03132,0.035847,0.034931,0.034773,0.031005,0.037191,0.033852,0.033063,0.029594,0.028933,0.029498,0.029159,0.035152,0.036099,0.031432,0.032332,0.030652,0.032245,0.031605,0.030727,0.032706,0.033069,0.035931,0.032091,0.030965,0.034675,0.033229,0.035889,0.03392,0.032781,0.036194,0.030915,0.032003,0.038136,0.068841,0.032397,0.102941,0.030612,0.166667,0.05814,0.0339,0.035228,0.032205,0.031814,0.035513,0.034237,0.033409,0.03385,0.033294,0.032447,0.031081,0.032256,0.031505,0.031354,0.029254,0.151899,0.029898,0.033269,0.031698,0.03178,0.031946,0.03583,0.434211,0.031954,0.029577,0.033847,0.03499,0.031239,0.030516,0.030548,0.031843,0.031203,0.031548,0.033087,0.029962,0.030767,0.030786,0.030331,0.034186,0.035106,0.030439,0.030826,0.874041,0.876591,0.876396
188-coll832-trial1_767272,0.033707,0.033695,0.032364,0.033555,0.030015,0.02969,0.032979,0.030944,0,0.007613,0.031228,0.031408,0.03762,0.036926,0.033557,0.034071,0.033921,0.033707,0.034829,0.029498,0.033011,0.031536,0.031223,0.032697,0.028992,0.034225,0.033215,0.033071,0.033268,0.034198,0.036247,0.03156,0.035414,0.036585,0.037773,0.035228,0.033757,0.034971,0.033509,0.033748,0.033663,0.033162,0.037193,0.036409,0.033983,0.035096,0.032265,0.030843,0.03681,0.034276,0.035992,0.034652,0.035678,0.03472,0.034654,0.036671,0.036721,0.033047,0.033225,0.031769,0.036268,0.037479,0.035732,0.032037,0.036307,0.03552,0.035818,0.030002,0.030906,0.03111,0.030066,0.03476,0.03392,0.031643,0.031599,0.032736,0.032707,0.032244,0.031995,0.035488,0.035028,0.035494,0.034799,0.031167,0.035595,0.031091,0.037106,0.034005,0.030504,0.038641,0.02881,0.032665,0.045045,0.041045,0.033497,0.1,0.043478,0,0.064103,0.033162,0.034685,0.033617,0.033779,0.033214,0.03208,0.035289,0.037937,0.032211,0.031903,0.031638,0.031342,0.033719,0.034706,0.032359,0.152231,0.033903,0.033091,0.033764,0.033209,0.032075,0.035033,0.435076,0.032096,0.03256,0.033866,0.03598,0.033344,0.031749,0.030823,0.0339,0.034184,0.03563,0.037083,0.033465,0.03344,0.031709,0.030611,0.031499,0.031663,0.032986,0.032482,0.875421,0.879129,0.878117
188-coll832-trial1_769251,0.033022,0.033695,0.032189,0.032622,0.030832,0.0295,0.032573,0.032018,0.007613,0,0.030131,0.031117,0.037718,0.036447,0.032373,0.034293,0.033953,0.033357,0.034947,0.028593,0.033079,0.031295,0.031156,0.032517,0.028027,0.034823,0.03304,0.032549,0.033185,0.033009,0.034963,0.031481,0.034689,0.035687,0.03627,0.035386,0.033445,0.034747,0.033634,0.033366,0.032536,0.033004,0.036321,0.035861,0.033663,0.035403,0.031824,0.031401,0.03647,0.033577,0.034624,0.035086,0.035899,0.035246,0.034626,0.035877,0.036323,0.032499,0.032107,0.032543,0.036533,0.0373,0.035406,0.032394,0.03669,0.035267,0.035488,0.030155,0.031382,0.031533,0.030396,0.03462,0.034265,0.03135,0.031899,0.032561,0.033241,0.030768,0.031065,0.035461,0.035439,0.035259,0.035152,0.031687,0.033699,0.030489,0.037075,0.038557,0.031873,0.038869,0.028368,0.032966,0.044248,0.044444,0.033278,0.129032,0.042553,0,0.0625,0.03352,0.035432,0.033093,0.033257,0.033124,0.03204,0.0352,0.037393,0.031594,0.032114,0.031945,0.032252,0.033835,0.034191,0.032829,0.151921,0.033004,0.033279,0.033475,0.033728,0.031429,0.034578,0.435437,0.032503,0.033128,0.033054,0.035556,0.033279,0.03031,0.03134,0.033665,0.034058,0.035959,0.037517,0.033995,0.0331,0.030375,0.030997,0.031399,0.031954,0.03329,0.032908,0.876275,0.87899,0.87816
