"ID","Set Date","Net","Set Time","Set Flow Rotor Count","Set 30 Seconds Count","Set Rotor Delta","Water Temperature on Set","Water Temperature on Pull","Pull Time","Pull Flow Rotor Count","Pull 30 sec Rotor Count","Pull Rotor Delta","Comments","Examined","Larvae Found","Cod Confirmed","Larvae Comments","Weather","cSettime","cPulltime","Soak Time","Pull Date","Source","Depth (m)","Total Rotor Delta","Delta per Hour","Average set and pull 30 sec delta","Av rotor if over whole soak time","Maccullochella larvae","Perca larvae","Cyprinus larvae","Other species","Location","SoakHours","OrigTotalRotor","YearOnly","Day of Year","CreatedDate","SiteName"
64,19/9/2011 0:00:00,"Eel net",30/12/1899 17:00:00,,,,,,30/12/1899 8:00:00,,,,,0,0,0,,,19/9/2011 17:00:00,20/9/2011 8:00:00,30/12/1899 15:00:00,20/9/2011 0:00:00,"Appendix 3",,,,,,0,,,,1,15.00,,2011,262,,"Tharwa Sandwash"
65,19/9/2011 0:00:00,"Drift net 1",30/12/1899 17:00:00,0,,,,,30/12/1899 8:00:00,,161481,,"161481",0,0,0,,,19/9/2011 17:00:00,20/9/2011 8:00:00,30/12/1899 15:00:00,20/9/2011 0:00:00,"Appendix 3",,161481.00,10765.40,,,0,,,,1,15.00,161481,2011,262,,"Tharwa Sandwash"
66,19/9/2011 0:00:00,"Drift net 2",30/12/1899 17:00:00,0,,,,,30/12/1899 8:00:00,,48797,,"48797",0,0,0,,,19/9/2011 17:00:00,20/9/2011 8:00:00,30/12/1899 15:00:00,20/9/2011 0:00:00,"Appendix 3",,48797.00,3253.13,,,0,,,,1,15.00,48797,2011,262,,"Tharwa Sandwash"
67,20/9/2011 0:00:00,"Eel net",30/12/1899 15:30:00,,,,,,30/12/1899 8:00:00,,,,,0,0,0,,,20/9/2011 15:30:00,21/9/2011 8:00:00,30/12/1899 16:30:00,21/9/2011 0:00:00,"Appendix 3",,,,,,0,,,,2,16.50,,2011,263,,"Lanyon"
68,20/9/2011 0:00:00,"Drift net 1",30/12/1899 16:30:00,161524,,,,,30/12/1899 8:00:00,,212298,,"50774",0,0,0,,,20/9/2011 16:30:00,21/9/2011 8:00:00,30/12/1899 15:30:00,21/9/2011 0:00:00,"Appendix 3",,50774.00,3384.93,,,0,,,,2,15.50,50774,2011,263,,"Lanyon"
69,20/9/2011 0:00:00,"Drift net 2",30/12/1899 16:30:00,48890,,,,,30/12/1899 8:00:00,,84255,,"35365",0,0,0,,,20/9/2011 16:30:00,21/9/2011 8:00:00,30/12/1899 15:30:00,21/9/2011 0:00:00,"Appendix 3",,35365.00,2357.66,,,0,,,,2,15.50,35365,2011,263,,"Lanyon"
70,21/9/2011 0:00:00,"Eel net",30/12/1899 16:00:00,,,,,,30/12/1899 8:00:00,,,,,0,0,0,,,21/9/2011 16:00:00,22/9/2011 8:00:00,30/12/1899 16:00:00,22/9/2011 0:00:00,"Appendix 3",,,,,,0,,,,3,16.00,,2011,264,,"Murramore"
71,21/9/2011 0:00:00,"Drift net 1",30/12/1899 16:30:00,202300,,,,,30/12/1899 8:00:00,,300902,,"98602",0,0,0,,,21/9/2011 16:30:00,22/9/2011 8:00:00,30/12/1899 15:30:00,22/9/2011 0:00:00,"Appendix 3",,98602.00,6573.46,,,0,,,,3,15.50,98602,2011,264,,"Murramore"
72,21/9/2011 0:00:00,"Drift net 2",30/12/1899 16:30:00,84292,,,,,30/12/1899 8:00:00,,1075887,,"CHECK",0,0,0,,,21/9/2011 16:30:00,22/9/2011 8:00:00,30/12/1899 15:30:00,22/9/2011 0:00:00,"Appendix 3",,991595.00,66106.33,,,0,,,,3,15.50,991595,2011,264,,"Murramore"
73,22/9/2011 0:00:00,"Eel net",30/12/1899 16:00:00,,,,,,30/12/1899 7:30:00,,,,,0,0,0,,,22/9/2011 16:00:00,23/9/2011 7:30:00,30/12/1899 15:30:00,23/9/2011 0:00:00,"Appendix 3",,,,,,0,,,,4,15.50,,2011,265,,"Kambah Pool"
