"","lookupVariable","lookupValue","newVariable","newValue","source"
"1","LarvalID",185,"Delta13C",-24.29407465,"database"
"2","LarvalID",186,"Delta13C",-24.42245914,"database"
"3","LarvalID",187,"Delta13C",-24.18494618,"database"
"4","LarvalID",188,"Delta13C",-23.92685712,"database"
"5","LarvalID",189,"Delta13C",-24.39137475,"database"
"6","LarvalID",190,"Delta13C",-24.27346979,"database"
"7","LarvalID",191,"Delta13C",-24.12437684,"database"
"8","LarvalID",192,"Delta13C",-23.182547,"database"
"9","LarvalID",193,"Delta13C",-24.00981848,"database"
"10","LarvalID",194,"Delta13C",-22.92227924,"database"
"11","LarvalID",195,"Delta13C",-23.53485711,"database"
"12","LarvalID",196,"Delta13C",-23.16723974,"database"
"13","LarvalID",197,"Delta13C",-24.87954572,"database"
"14","LarvalID",198,"Delta13C",-24.21775847,"database"
"15","LarvalID",199,"Delta13C",-22.99049758,"database"
"16","LarvalID",200,"Delta13C",-24.25762899,"database"
"17","LarvalID",201,"Delta13C",-24.42580146,"database"
"18","LarvalID",202,"Delta13C",-25.04966223,"database"
"19","LarvalID",203,"Delta13C",-24.57930127,"database"
"20","LarvalID",204,"Delta13C",-24.15144455,"database"
"21","LarvalID",205,"Delta13C",-24.31941133,"database"
"22","LarvalID",206,"Delta13C",-22.88181237,"database"
"23","LarvalID",207,"Delta13C",-23.13558769,"database"
"24","LarvalID",208,"Delta13C",-24.26977083,"database"
"25","LarvalID",209,"Delta13C",-23.59619845,"database"
"26","LarvalID",210,"Delta13C",-23.65498518,"database"
"27","LarvalID",211,"Delta13C",-22.696867,"database"
"28","LarvalID",212,"Delta13C",-23.21461582,"database"
"29","LarvalID",213,"Delta13C",-23.22367061,"database"
"30","LarvalID",214,"Delta13C",-23.08721362,"database"
"31","LarvalID",215,"Delta13C",-23.81143427,"database"
"32","LarvalID",216,"Delta13C",-22.69092265,"database"
"33","LarvalID",217,"Delta13C",-23.84352545,"database"
"34","LarvalID",218,"Delta13C",-22.67005855,"database"
"35","LarvalID",219,"Delta13C",-23.06927536,"database"
"36","LarvalID",220,"Delta13C",-22.97842303,"database"
"37","LarvalID",221,"Delta13C",-23.06774448,"database"
"38","LarvalID",222,"Delta13C",-24.4291081,"database"
"39","LarvalID",223,"Delta13C",-23.6860342,"database"
"40","LarvalID",224,"Delta13C",-23.3487902,"database"
"41","LarvalID",225,"Delta13C",-24.62380461,"database"
"42","LarvalID",226,"Delta13C",-23.60210099,"database"
"43","LarvalID",227,"Delta13C",-23.62180195,"database"
"44","LarvalID",228,"Delta13C",-24.33039478,"database"
"45","LarvalID",229,"Delta13C",-24.44811848,"database"
"46","LarvalID",230,"Delta13C",-25.188978,"database"
"47","LarvalID",231,"Delta13C",-25.14971421,"database"
"48","LarvalID",232,"Delta13C",-24.03170677,"database"
"49","LarvalID",233,"Delta13C",-24.81822591,"database"
"50","LarvalID",234,"Delta13C",-25.12028516,"database"
"51","LarvalID",235,"Delta13C",-25.37506184,"database"
"52","LarvalID",236,"Delta13C",-25.17816742,"database"
"53","LarvalID",237,"Delta13C",-24.76802839,"database"
"54","LarvalID",238,"Delta13C",-24.50127365,"database"
"55","LarvalID",239,"Delta13C",-24.881381,"database"
"56","LarvalID",240,"Delta13C",-23.98763324,"database"
"57","LarvalID",241,"Delta13C",-25.07592988,"database"
"58","LarvalID",242,"Delta13C",-24.45578505,"database"
"59","LarvalID",243,"Delta13C",-25.45328265,"database"
"60","LarvalID",244,"Delta13C",-24.94239851,"database"
"61","LarvalID",245,"Delta13C",-24.04436343,"database"
"62","LarvalID",246,"Delta13C",-24.79587148,"database"
"63","LarvalID",247,"Delta13C",-25.03329492,"database"
"64","LarvalID",248,"Delta13C",-27.12027814,"database"
"65","LarvalID",249,"Delta13C",-25.38445884,"database"
"66","LarvalID",250,"Delta13C",-23.17163834,"database"
"67","LarvalID",251,"Delta13C",-26.43459446,"database"
"68","LarvalID",252,"Delta13C",-23.9281848,"database"
"69","LarvalID",253,"Delta13C",-26.31971564,"database"
"70","LarvalID",254,"Delta13C",-24.46580794,"database"
"71","LarvalID",255,"Delta13C",-24.43279165,"database"
"72","LarvalID",256,"Delta13C",-23.94422674,"database"
"73","LarvalID",257,"Delta13C",-23.94332546,"database"
"74","LarvalID",258,"Delta13C",-25.22781719,"database"
"75","LarvalID",259,"Delta13C",-24.15420615,"database"
"76","LarvalID",260,"Delta13C",-24.77716061,"database"
"77","LarvalID",261,"Delta13C",-24.11155721,"database"
"78","LarvalID",262,"Delta13C",-22.94538364,"database"
"79","LarvalID",263,"Delta13C",-22.95822092,"database"
"80","LarvalID",264,"Delta13C",-24.38152766,"database"
"81","LarvalID",265,"Delta13C",-23.96858134,"database"
"82","LarvalID",266,"Delta13C",-23.25729614,"database"
"83","LarvalID",267,"Delta13C",-24.23779868,"database"
"84","LarvalID",268,"Delta13C",-24.32181004,"database"
"85","LarvalID",269,"Delta13C",-25.42687967,"database"
"86","LarvalID",270,"Delta13C",-24.08618046,"database"
"87","LarvalID",271,"Delta13C",-24.0541322,"database"
"88","LarvalID",272,"Delta13C",-24.48818131,"database"
"89","LarvalID",273,"Delta13C",-23.75730573,"database"
"90","LarvalID",274,"Delta13C",-24.0682903,"database"
"91","LarvalID",275,"Delta13C",-24.76437621,"database"
"92","LarvalID",276,"Delta13C",-24.72028203,"database"
"93","LarvalID",277,"Delta13C",-23.90855046,"database"
"94","LarvalID",278,"Delta13C",-23.91441475,"database"
"95","LarvalID",279,"Delta13C",-23.96482849,"database"
"96","LarvalID",280,"Delta13C",-24.3016445,"database"
"97","LarvalID",185,"Delta15N",17.22900366,"database"
"98","LarvalID",186,"Delta15N",17.43863586,"database"
"99","LarvalID",187,"Delta15N",17.42943057,"database"
"100","LarvalID",188,"Delta15N",17.31001447,"database"
"101","LarvalID",189,"Delta15N",17.34734221,"database"
"102","LarvalID",190,"Delta15N",17.34441223,"database"
"103","LarvalID",191,"Delta15N",17.33149927,"database"
"104","LarvalID",192,"Delta15N",17.07783738,"database"
"105","LarvalID",193,"Delta15N",17.31257512,"database"
"106","LarvalID",194,"Delta15N",16.24176887,"database"
"107","LarvalID",195,"Delta15N",16.56868346,"database"
"108","LarvalID",196,"Delta15N",12.97517652,"database"
