Label,LarvalRecords.LarvaID,CollectionEvent,RackNo,Species,LarvaePhoto,LarvaEthanolLength,LarvaLength,KnownAge,CollectedBy,LarvalRecords.Comments,Calculated Age,Delta13C,Delta15N,CNRatio,BodyWeight,SourceLarvae,LarvalRecords.CreatedDate,LarvalRecords.PlateID,LarvalRecords.Row,LarvalRecords.Column,LarvalRecords.NestID,LarvalOtoliths.LarvaID,OtolithCount,Otolith1Length,Otolith1Width,Otolith1Photo,PatsLength,Ratio1,Otolith1Rings,Otolith2Length,Otolith2Width,Otolith2Photo,Ratio2,Otolith2Rings,AblationSlide,AblationSlideColumn,AblationSlideRow,AblationCentralityScore,MeanOtolithLength,LarvalOtoliths.Comments,MeanDailyIncrements,LarvalOtoliths.CreatedDate,OLEstimateAge,Larva Collection.ID,Set Date,Net,Set Time,Set Flow Rotor Count,Set 30 Seconds Count,Set Rotor Delta,Water Temperature on Set,Water Temperature on Pull,Pull Time,Pull Flow Rotor Count,Pull 30 sec Rotor Count,Pull Rotor Delta,Larva Collection.Comments,Examined,Larvae Found,Cod Confirmed,Larvae Comments,Weather,cSettime,cPulltime,Soak Time,Pull Date,Larva Collection.Source,Depth (m),Total Rotor Delta,Delta per Hour,Average set and pull 30 sec delta,Av rotor if over whole soak time,Maccullochella larvae,Perca larvae,Cyprinus larvae,Other species,Location,SoakHours,OrigTotalRotor,YearOnly,Day of Year,Larva Collection.CreatedDate,SiteName,ACFlowAndWQ.ID,Datetime,ACFlowAndWQ.Station,DischargeMean,WaterTempMean,pH Instantaneous,TurbidityMean,DOInstantaneous,Sites.ID,RiverName,RiverSystemPart,Segment,Site Name,Latitude,Longitude,GPS Coordinates,new Latitude,new Longitude,X,Y,Elevation (m) from DEM,Distance from source (m),Distance to Angle Crossing (m),Distance_old,Sites.Source,AKA,Type,Slope,Width,Depth,Description,Fishing Access,Seg,Field0,ageOL,hatchDoY,incubTime,spawnDoY,Genetics.PlateID,Genetics.Row,Genetics.Column,raceCladeName,raceCladeNumber,CladeName,cladeNumber,cladeGoTName,Genetics.NestID,NestGoTName,Sibling,SiblingIDs,Genetics.Comments,Genetics.CreatedDate,nestMother
,4,684,A1,M. peelii,C:\DBImages\NoImage.jpg,,,,Anu Datta,Lostfrom slide after count.,,,,,,Wild caught Murrumbidgee,,2011A,A,1.00,,4,0,290,,C:\DBImages\O1\NoImage.jpg,,,9,280,,C:\DBImages\O2\NoImage.jpg,,,,,,,285,Lostfrom slide after count.,9,,16.89,684,09-Nov-11,Drift net 5,00-Jan-00,443151,,,,,00-Jan-00,,454508,,11357,FALSE,FALSE,FALSE,,,9/11/2011 18:00,10/11/2011 9:00,15:00,10-Nov-11,,,11357,757.1333333,,,73,,2,,Kambah Pool,15,11357,2011,313,,Kambah Pool,313,09-Nov-11,Angle Crossing,268.001,21.778,7.27,29.66,89.1,4,Murrumbidgee,,,Kambah Pool,-35.400567,149.014594,"S35°24’02.04”, E149°00’52.54”",-35.40037893,149.0147227,682959.2849,6080670.471,554,229890.0,28825.0,29854,M2G Project Information Document,Kambah,Sample,0.23,37,7,"Low gradient, confined valley",9,29,Angle Crossing,16.8932673,296.1067327,6.144074,289.9626587,,,,,,,,,,,,,,,
K20111110-2a,5,684,A2,M. peelii,C:\DBImages\NoImage.jpg,,,,Anu Datta,separate slide mounted,,,,,,Wild caught Murrumbidgee,,2011A,A,2.00,,5,2,280,,C:\DBImages\O1\IMG_8876.JPG,,,10,270,,C:\DBImages\O2\NoImage.jpg,,,,,,,275,separate slide mounted,10,,16.30,684,09-Nov-11,Drift net 5,00-Jan-00,443151,,,,,00-Jan-00,,454508,,11357,FALSE,FALSE,FALSE,,,9/11/2011 18:00,10/11/2011 9:00,15:00,10-Nov-11,,,11357,757.1333333,,,73,,2,,Kambah Pool,15,11357,2011,313,,Kambah Pool,313,09-Nov-11,Angle Crossing,268.001,21.778,7.27,29.66,89.1,4,Murrumbidgee,,,Kambah Pool,-35.400567,149.014594,"S35°24’02.04”, E149°00’52.54”",-35.40037893,149.0147227,682959.2849,6080670.471,554,229890.0,28825.0,29854,M2G Project Information Document,Kambah,Sample,0.23,37,7,"Low gradient, confined valley",9,29,Angle Crossing,16.3016833,296.6983167,6.144074,290.5542427,,,,,,,,,,,,,,,
L20111108-1,13,676,A4,M. peelii,C:\DBImages\Larva\L20111108-1.tif,10.5,10.8906,,Anu Datta,Lost.,,,,,,Wild caught Murrumbidgee,,2011A,A,4.00,,13,0,,,C:\DBImages\O1\NoImage.jpg,,,,,,C:\DBImages\O2\NoImage.jpg,,,,,,,,Lost.,,,,676,07-Nov-11,Eel net,00-Jan-00,,,,,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,,7/11/2011 17:30,8/11/2011 10:00,16:30,08-Nov-11,,,,,,,3,,,,Lanyon,16.5,,2011,311,,Lanyon,311,07-Nov-11,Angle Crossing,252.976,21.566,7.43,5.901,,2,Murrumbidgee,,,Lanyon,-35.477983,149.064017,"S35°28’40.74”, E149°03’50.46”",-35.47801163,149.0639663,687251.8273,6071990.275,580,231166.7,13980.3,14236,M2G Project Information Document,Jeggerline,Sample,0.08,63,3.5,"Low gradient, 
open valley",7,14,Angle Crossing,,,6.285478,,,,,,,,,,,,,,,,
L20111108-2,14,676,A5,M. peelii,C:\DBImages\NoImage.jpg,,,,Anu Datta,1st otolith in microtube.,,,,,,Wild caught Murrumbidgee,,2011A,A,5.00,,14,1,,,C:\DBImages\O1\NoImage.jpg,,,,,,C:\DBImages\O2\NoImage.jpg,,,,,,,,1st otolith in microtube.,,,,676,07-Nov-11,Eel net,00-Jan-00,,,,,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,,7/11/2011 17:30,8/11/2011 10:00,16:30,08-Nov-11,,,,,,,3,,,,Lanyon,16.5,,2011,311,,Lanyon,311,07-Nov-11,Angle Crossing,252.976,21.566,7.43,5.901,,2,Murrumbidgee,,,Lanyon,-35.477983,149.064017,"S35°28’40.74”, E149°03’50.46”",-35.47801163,149.0639663,687251.8273,6071990.275,580,231166.7,13980.3,14236,M2G Project Information Document,Jeggerline,Sample,0.08,63,3.5,"Low gradient, 
open valley",7,14,Angle Crossing,,,6.285478,,,,,,,,,,,,,,,,
L20111108-3,15,676,A6,M. peelii,C:\DBImages\Larva\L20111108-3.tif,10.5,10.8906,,Anu Datta,Otolith on slide,,-23.40,13.70,3.80,,Wild caught Murrumbidgee,,2011A,A,6.00,,15,2,175,,C:\DBImages\O1\NoImage.jpg,,,,170,,C:\DBImages\O2\NoImage.jpg,,,,,,,172.5,Otolith on slide,,,10.24,676,07-Nov-11,Eel net,00-Jan-00,,,,,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,,7/11/2011 17:30,8/11/2011 10:00,16:30,08-Nov-11,,,,,,,3,,,,Lanyon,16.5,,2011,311,,Lanyon,311,07-Nov-11,Angle Crossing,252.976,21.566,7.43,5.901,,2,Murrumbidgee,,,Lanyon,-35.477983,149.064017,"S35°28’40.74”, E149°03’50.46”",-35.47801163,149.0639663,687251.8273,6071990.275,580,231166.7,13980.3,14236,M2G Project Information Document,Jeggerline,Sample,0.08,63,3.5,"Low gradient, 
open valley",7,14,Angle Crossing,10.2379473,300.7620527,6.285478,294.4765747,,,,,,,,,,,,,,,
L20111108-4,16,678,A7,M. peelii,C:\DBImages\Larva\L20111108-4.tif,10.7,11.09804,,Anu Datta,Slide mounted,,,,,,Wild caught Murrumbidgee,,2011A,A,7.00,,16,2,220,,C:\DBImages\O1\NoImage.jpg,,,,200,,C:\DBImages\O2\NoImage.jpg,,,,,,,210,Slide mounted,,,12.46,678,07-Nov-11,Drift net 3,00-Jan-00,726728,,,,,00-Jan-00,,754958,,28230,FALSE,FALSE,FALSE,,,7/11/2011 18:00,8/11/2011 9:30,15:30,08-Nov-11,,,28230,1882,,,0,,,,Lanyon,15.5,28230,2011,311,,Lanyon,311,07-Nov-11,Angle Crossing,252.976,21.566,7.43,5.901,,2,Murrumbidgee,,,Lanyon,-35.477983,149.064017,"S35°28’40.74”, E149°03’50.46”",-35.47801163,149.0639663,687251.8273,6071990.275,580,231166.7,13980.3,14236,M2G Project Information Document,Jeggerline,Sample,0.08,63,3.5,"Low gradient, 
open valley",7,14,Angle Crossing,12.4563873,298.5436127,6.285478,292.2581347,,,,,,,,,,,,,,,
L20111108-5,17,678,A8,M. peelii,C:\DBImages\Larva\L20111108-5.tif,11,11.4092,,Anu Datta,"# 5 Slide mounted
11 rings before polishing

only 1 sagittae
other no rings much",,,,,,Wild caught Murrumbidgee,,2011A,A,8.00,,17,1,210,,C:\DBImages\O1\NoImage.jpg,,,11,,,C:\DBImages\O2\NoImage.jpg,,,,,,,210,"# 5 Slide mounted
11 rings before polishing

only 1 sagittae
other no rings much",11,,12.46,678,07-Nov-11,Drift net 3,00-Jan-00,726728,,,,,00-Jan-00,,754958,,28230,FALSE,FALSE,FALSE,,,7/11/2011 18:00,8/11/2011 9:30,15:30,08-Nov-11,,,28230,1882,,,0,,,,Lanyon,15.5,28230,2011,311,,Lanyon,311,07-Nov-11,Angle Crossing,252.976,21.566,7.43,5.901,,2,Murrumbidgee,,,Lanyon,-35.477983,149.064017,"S35°28’40.74”, E149°03’50.46”",-35.47801163,149.0639663,687251.8273,6071990.275,580,231166.7,13980.3,14236,M2G Project Information Document,Jeggerline,Sample,0.08,63,3.5,"Low gradient, 
open valley",7,14,Angle Crossing,12.4563873,298.5436127,6.285478,292.2581347,,,,,,,,,,,,,,,
L20111108-6,18,678,,,C:\DBImages\Larva\L20111108-6.tif,11,11.4092,,Anu Datta,Fish only A1 in fish rack,,,,,,Wild caught Murrumbidgee,,2011A,,,,18,,,,C:\DBImages\O1\NoImage.jpg,,,,,,C:\DBImages\O2\NoImage.jpg,,,,,,,,Fish only A1 in fish rack,,,,678,07-Nov-11,Drift net 3,00-Jan-00,726728,,,,,00-Jan-00,,754958,,28230,FALSE,FALSE,FALSE,,,7/11/2011 18:00,8/11/2011 9:30,15:30,08-Nov-11,,,28230,1882,,,0,,,,Lanyon,15.5,28230,2011,311,,Lanyon,311,07-Nov-11,Angle Crossing,252.976,21.566,7.43,5.901,,2,Murrumbidgee,,,Lanyon,-35.477983,149.064017,"S35°28’40.74”, E149°03’50.46”",-35.47801163,149.0639663,687251.8273,6071990.275,580,231166.7,13980.3,14236,M2G Project Information Document,Jeggerline,Sample,0.08,63,3.5,"Low gradient, 
open valley",7,14,Angle Crossing,,,6.285478,,,,,,,,,,,,,,,,
K20111110-1,19,684,A9,M. peelii,C:\DBImages\NoImage.jpg,11,11.4092,,Anu Datta,nonsag otolith on slide,,,,,,Wild caught Murrumbidgee,,2011A,A,9.00,,19,1,,,C:\DBImages\O1\NoImage.jpg,,,,,,C:\DBImages\O2\NoImage.jpg,,,,,,,,nonsag otolith on slide,,,,684,09-Nov-11,Drift net 5,00-Jan-00,443151,,,,,00-Jan-00,,454508,,11357,FALSE,FALSE,FALSE,,,9/11/2011 18:00,10/11/2011 9:00,15:00,10-Nov-11,,,11357,757.1333333,,,73,,2,,Kambah Pool,15,11357,2011,313,,Kambah Pool,313,09-Nov-11,Angle Crossing,268.001,21.778,7.27,29.66,89.1,4,Murrumbidgee,,,Kambah Pool,-35.400567,149.014594,"S35°24’02.04”, E149°00’52.54”",-35.40037893,149.0147227,682959.2849,6080670.471,554,229890.0,28825.0,29854,M2G Project Information Document,Kambah,Sample,0.23,37,7,"Low gradient, confined valley",9,29,Angle Crossing,,,6.144074,,,,,,,,,,,,,,,,
K20111110,20,684,A10,M. peelii,C:\DBImages\NoImage.jpg,,,,Anu Datta,Practice in haemotcrit lost,,,,,,Wild caught Murrumbidgee,,2011A,A,10.00,,20,,,,C:\DBImages\O1\NoImage.jpg,,,,,,C:\DBImages\O2\NoImage.jpg,,,,,,,,Practice in haemotcrit lost,,,,684,09-Nov-11,Drift net 5,00-Jan-00,443151,,,,,00-Jan-00,,454508,,11357,FALSE,FALSE,FALSE,,,9/11/2011 18:00,10/11/2011 9:00,15:00,10-Nov-11,,,11357,757.1333333,,,73,,2,,Kambah Pool,15,11357,2011,313,,Kambah Pool,313,09-Nov-11,Angle Crossing,268.001,21.778,7.27,29.66,89.1,4,Murrumbidgee,,,Kambah Pool,-35.400567,149.014594,"S35°24’02.04”, E149°00’52.54”",-35.40037893,149.0147227,682959.2849,6080670.471,554,229890.0,28825.0,29854,M2G Project Information Document,Kambah,Sample,0.23,37,7,"Low gradient, confined valley",9,29,Angle Crossing,,,6.144074,,,,,,,,,,,,,,,,
