"Label","Row.names","LarvalID","CollectionEvent","RackNo","Species","LarvaePhoto","LarvaEthanolLength","LarvaLength","KnownAge","CollectedBy","Calculated.Age","Delta13C","Delta15N","CNRatio","BodyWeight","SourceLarvae","PlateID","Row","Column","NestID","LarvalRecords.Comments","LarvalRecords.CreatedDate","LarvalOtoliths.LarvaID","OtolithCount","Otolith1Length","Otolith1Width","Otolith1Photo","PatsLength","Ratio1","Otolith1Rings","Otolith2Length","Otolith2Width","Otolith2Photo","Ratio2","Otolith2Rings","AblationSlide","AblationSlideColumn","AblationSlideRow","AblationCentralityScore","MeanOtolithLength","OLEstimateAge","MeanDailyIncrements","LarvalOtoliths.Comments","LarvalOtoliths.CreatedDate","Larva.Collection.ID","Set.Date","Net","Set.Time","Set.Flow.Rotor.Count","Set.30.Seconds.Count","Set.Rotor.Delta","Water.Temperature.on.Set","Water.Temperature.on.Pull","Pull.Time","Pull.Flow.Rotor.Count","Pull.30.sec.Rotor.Count","Pull.Rotor.Delta","Larva.Collection.Comments","Examined","Larvae.Found","Cod.Confirmed","Larvae.Comments","Weather","cSettime","cPulltime","Soak.Time","Pull.Date","Larva.Collection.Source","Depth..m.","Total.Rotor.Delta","Delta.per.Hour","Average.set.and.pull.30.sec.delta","Av.rotor.if.over.whole.soak.time","Maccullochella.larvae","Perca.larvae","Cyprinus.larvae","Other.species","Location","SoakHours","OrigTotalRotor","YearOnly","Day.of.Year","Larva.Collection.CreatedDate","SiteName","ACFlowAndWQ.ID","Datetime","ACFlowAndWQ.Station","DischargeMean","WaterTempMean","pH.Instantaneous","TurbidityMean","DOInstantaneous","Sites.ID","RiverName","RiverSystemPart","Segment","Site.Name","Latitude","Longitude","GPS.Coordinates","new.Latitude","new.Longitude","X.x","Y","Elevation..m..from.DEM","Distance.from.source..m.","Distance.to.Angle.Crossing..m.","Distance_old","Sites.Source","AKA","Type","Slope","Width","Depth","Description","Fishing.Access","Seg","Field0","ageOL","hatchdoy","incTime","spawn","nestdist","cladeNo.x","cladeNo.y","clade","X.y","X.1","X.2","X.3"
"B2013117-191","B2013117-191","191","797","A7","M. peelii","C:\DBImages\Larva\191.jpg","11.102","11.514994","NA","Alan Couch","NA","-24.12","17.33","3.20","0.99","Wild caught Murrumbidgee","2013A","A"," 7","NA","","10-Feb-14","191","2","280","220","C:\DBImages\O1\O1_0191.jpg","300","1.27","11","290","210","C:\DBImages\O2\O2C_0044.jpg","1.38","11","C"," 9","D","4.0","285.0","16.89","11.0","","10-Feb-14","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528.190","373.5"," 965124"," 27","NA","NA","NA","","21.53333","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.326","19.420","7.312"," 5.465","95.178","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing","16.89327","294.1067"," 7.716860","286.3899","23024.4860"," 6"," 6","hB1","NA","NA","NA",""
"B2013117-192","B2013117-192","192","797","A8","M. peelii","C:\DBImages\Larva\192.jpg","10.551","10.943497","NA","Alan Couch","NA","-23.18","17.08","3.24","0.71","Wild caught Murrumbidgee","2013A","A"," 8","NA","","10-Feb-14","192","2","230","180","C:\DBImages\O1\O1_0192.jpg","240","1.28","NA","245","170","C:\DBImages\O2\O2C_0045.jpg","1.44","10","C","10","D","3.5","237.5","14.08","  NA","","10-Feb-14","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528.190","373.5"," 965124"," 27","NA","NA","NA","","21.53333","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.326","19.420","7.312"," 5.465","95.178","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing","14.08324","296.9168"," 7.716860","289.1999","26399.3248"," 6"," 6","hB1","NA","NA","NA",""
"B2013117-193","B2013117-193","193","797","A9","M. peelii","C:\DBImages\Larva\193.jpg","10.919","11.325187","NA","Alan Couch","NA","-24.01","17.31","3.20","1.04","Wild caught Murrumbidgee","2013A","A"," 9","NA","","10-Feb-14","193","2","260","200","C:\DBImages\O1\O1_0193.jpg","280","1.30","NA","270","200","C:\DBImages\O2\O2C_0046.jpg","1.35"," 6","C","11","D","4.0","265.0","15.71","  NA","","10-Feb-14","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528.190","373.5"," 965124"," 27","NA","NA","NA","","21.53333","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.326","19.420","7.312"," 5.465","95.178","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing","15.71010","295.2899"," 7.716860","287.5730","24445.4707"," 6"," 6","hB1","NA","NA","NA",""
"B2013117-194","B2013117-194","194","797","A10","M. peelii","C:\DBImages\Larva\194.jpg","10.868","11.272290","NA","Alan Couch","NA","-22.92","16.24","3.22","0.79","Wild caught Murrumbidgee","2013A","A","10","NA","","10-Feb-14","194","2","210","140","C:\DBImages\O1\O1_0194.jpg","170","1.50","NA","205","160","C:\DBImages\O2\O2C_0047.jpg","1.28"," 8","C","12","D"," NA","207.5","12.31","  NA","","10-Feb-14","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528.190","373.5"," 965124"," 27","NA","NA","NA","","21.53333","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.326","19.420","7.312"," 5.465","95.178","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing","12.30849","298.6915"," 7.716860","290.9746","28530.8019"," 3"," 3","hK1","NA","NA","NA",""
"B2013117-195","B2013117-195","195","797","A11","M. peelii","C:\DBImages\Larva\195.jpg","10.412","10.799326","16","Alan Couch","NA","-23.53","16.57","3.29","0.63","Wild caught Murrumbidgee","2013A","A","11","NA","","10-Feb-14","195","2","205","160","C:\DBImages\O1\O1_0195.jpg","200","1.28","NA","195","155","C:\DBImages\O2\O2C_0048.jpg","1.26"," 7","C","13","D"," NA","200.0","11.86","  NA","Kyne 195um","10-Feb-14","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528.190","373.5"," 965124"," 27","NA","NA","NA","","21.53333","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.326","19.420","7.312"," 5.465","95.178","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing","11.86480","299.1352"," 7.716860","291.4183","29063.6712"," 3"," 3","hK1","NA","NA","NA",""
"B2013117-196","B2013117-196","196","797","A12","M. peelii","C:\DBImages\Larva\196.jpg","10.605","10.999506","NA","Alan Couch","NA","-23.17","12.98","3.29","0.68","Wild caught Murrumbidgee","2013A","A","12","NA","","10-Feb-14","196","2","190","190","C:\DBImages\O1\O1_0196.jpg","200","1.00","NA","190","155","C:\DBImages\O2\O2D_0001.jpg","1.23"," 7","D"," 1","A"," NA","190.0","11.27","  NA","","10-Feb-14","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528.190","373.5"," 965124"," 27","NA","NA","NA","","21.53333","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.326","19.420","7.312"," 5.465","95.178","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing","11.27322","299.7268"," 7.716860","292.0099","29774.1636"," 1"," 1","hN1","NA","NA","NA",""
"B2013117-197","B2013117-197","197","797","B12","M. peelii","C:\DBImages\Larva\197.tif","10.280","10.662416","NA","Alan Couch","NA","-24.88","11.51","3.31","0.44","Wild caught Murrumbidgee","2013A","B","12","NA","","10-Feb-14","197","2","210","150","C:\DBImages\O1\O1_0197.jpg","210","1.40"," 6","220","160","C:\DBImages\O2\O2D_0002.jpg","1.38"," 6","D"," 2","A"," NA","215.0","12.75"," 6.0","","10-Feb-14","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528.190","373.5"," 965124"," 27","NA","NA","NA","","21.53333","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.326","19.420","7.312"," 5.465","95.178","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing","12.75218","298.2478"," 7.716860","290.5310","27997.9327"," 8"," 8","hK3","NA","NA","NA",""
"B2013117-198","B2013117-198","198","797","B11","M. peelii","C:\DBImages\Larva\198.tif","11.149","11.563743","NA","Alan Couch","NA","-24.22","17.22","3.19","1.04","Wild caught Murrumbidgee","2013A","B","11","NA","","10-Feb-14","198","2","270","220","C:\DBImages\O1\O1_0198.jpg","290","1.23","11","275","200","C:\DBImages\O2\O2D_0003.jpg","1.38"," 9","D"," 3","A"," NA","272.5","16.15","10.0","","10-Feb-14","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528.190","373.5"," 965124"," 27","NA","NA","NA","","21.53333","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.326","19.420","7.312"," 5.465","95.178","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing","16.15379","294.8462"," 7.716860","287.1294","23912.6015"," 6"," 6","hB1","NA","NA","NA",""
"B2013117-199","B2013117-199","199","797","B10","M. peelii","C:\DBImages\Larva\199.tif","10.010","10.382372","NA","Alan Couch","NA","-22.99","16.16","3.29","0.73","Wild caught Murrumbidgee","2013A","B","10","NA","abdominal bulge","10-Feb-14","199","2","210","170","C:\DBImages\O1\O1_0199.jpg","210","1.24","11","210","160","C:\DBImages\O2\O2D_0004.jpg","1.31","11","D"," 4","A"," NA","210.0","12.46","11.0","abdominal bulge","10-Feb-14","797","07-Nov-13","Drift net 6","00-Jan-00","     0","   585"," 585","21.5","21.5","00-Jan-00"," 514930"," 515092","162","New flow meters.","TRUE"," TRUE"," TRUE","8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","","NA","515092","24528.190","373.5"," 965124"," 27","NA","NA","NA","","21.53333","NA","2013","311","12-Nov-13","Bullen Range","965","07-Nov-13","Angle Crossing"," 209.326","19.420","7.312"," 5.465","95.178","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Angle Crossing","12.45639","298.5436"," 7.716860","290.8268","28353.1789"," 3"," 3","hK1","NA","NA","NA",""
"K20131111-225","K20131111-225","225","802","D8","M. peelii","C:\DBImages\Larva\225.tif","10.020","10.392744","18","Alan Couch","NA","-24.62","14.11","3.22","0.77","Wild caught Murrumbidgee","2013A","D"," 8","NA","","10-Feb-14","225","2","355","230","C:\DBImages\O1\O1_0225.jpg","370","1.54","NA","340","225","C:\DBImages\O2\O2D_0030.jpg","1.51","NA","D"," 3","C"," NA","347.5","20.59","  NA","Kyne 333um - maybe 19","10-Feb-14","802","11-Nov-13","Drift net 6","00-Jan-00","515243","516320","1077","17.4","  NA","00-Jan-00","1086647","1087222","575","added a mill","TRUE"," TRUE"," TRUE","Half contents lost at live pick…","","11/11/2013 16:20","12/11/2013 10:45","18:25","12-Nov-13","","NA","571979","31776.611","826.0","1825460","  1","NA","NA"," 1","","18.41667","NA","2013","315","12-Nov-13","Kambah Pool","969","11-Nov-13","Angle Crossing"," 302.987","15.300","7.498"," 5.450","92.982","4","Murrumbidgee","NA","NA","Kambah Pool","-35.40057","149.0146","S35°24’02.04”, E149°00’52.54”","-35.40038","149.0147","682959.3","6080670","554.0","229890.0","28825.0","29854","M2G Project Information Document","Kambah","Sample","0.23","37","7.0","Low gradient, confined valley","9","29","Angle Crossing","20.59067","294.4093","10.464900","283.9444","12502.6086","11","11","hK5","NA","NA","NA",""
