,K2013117-185,B2013117-194,B2013117-195,B2013117-196,K2013117-186,K2013117-187,K2013117-188,K2013117-189,K2013117-190,B2013117-191,B2013117-192,B2013117-193,N20131111-208,B2013117-199,B2013117-198,B2013117-197,N20131111-207,N20131111-206,K2013118-205,K2013118-204,K2013118-203,K2013118-202,K2013118-201,K2013118-200,N20131111-209,N20131111-218,N20131111-219,N20131111-220,N20131111-210,N20131111-211,N20131111-212,N20131111-213,N20131111-214,N20131111-215,N20131111-216,N20131111-217,K20131113-232,N20131111-223,T20131119-268,K20131113-231,K20131113-230,K20131113-229,K20131113-228,K20131113-227,T20131112-226,K20131111-225,N20131111-224,K20131113-233,K20131113-242,K20131113-244,K20131113-234,K20131113-235,K20131113-236,K20131113-237,K20131113-238,K20131113-239,K20131113-240,K20131113-241,L20131113-256,K20131113-247,K20131113-246,K20131113-245,L20131113-255,L20131113-254,L20131113-250,K20131115-257,N20131118-266,T20131119-267,K20131115-258,K20131115-259,K20131115-260,K20131115-261,N20131118-263,N20131118-264,N20131118-265,T20131121-280,K20131119-271,K20131119-270,K20131120-279,K20131120-278,K20131120-277,K20131120-276,K20131120-275,K20131119-274,K20131119-273,K20131119-272
K2013117-185,0,29.12616,27.97772,30.05521,24.53918,23.38985,25.21296,23.49616,24.55912,29.96588,28.85327,29.57329,30.56212,29.77733,29.27445,28.9026,31.21197,30.97278,24.85746,23.72462,30.94228,30.30959,24.51077,24.07084,30.88437,31.1178,30.74779,30.7073,30.41105,29.44959,30.04987,31.22801,30.67036,30.65667,29.36674,30.81574,30.76271,29.37586,31.99692,28.77095,28.05463,29.33526,31.02939,30.81109,31.37889,31.63358,31.80615,29.40699,31.80331,30.68754,30.00198,30.07406,31.03706,32.10527,30.10439,29.74729,31.48749,29.7827,30.88401,31.37052,30.2038,31.23213,31.20661,31.00393,31.54215,29.98961,30.25643,30.21587,30.95608,29.44981,30.14778,29.71171,29.87845,30.1718,29.16617,30.10297,29.52135,30.71002,30.31736,29.64534,29.39568,29.74152,29.91439,29.92422,31.10321,29.91987
B2013117-194,29.12616,0,29.86641,30.66888,30.56918,28.95235,29.40118,29.74663,28.74766,30.12886,28.73927,30.12028,30.834,23.14763,30.65509,29.6252,32.08902,31.98934,28.7086,28.69288,29.96402,31.04245,29.66325,28.98609,31.97578,31.32417,31.38294,32.26818,31.47927,30.77474,30.41467,31.70481,30.32648,31.90158,31.10299,32.31731,31.8291,30.29509,33.0957,29.49204,28.94666,31.6158,31.41401,31.43815,32.45905,32.30118,32.56663,31.97063,32.16979,31.97199,30.06739,31.02676,31.27005,32.51153,30.97429,31.01951,30.59637,29.63825,31.25361,32.50058,31.01552,31.30783,32.35619,32.24319,32.02976,30.3052,29.97433,30.338,30.54897,30.19477,30.83048,31.62089,31.08427,29.74664,30.76608,29.03797,30.67638,30.86524,31.16798,31.00432,30.99989,30.30375,30.68117,31.7634,33.28603,30.9848
K2013117-186,24.53918,30.56918,29.52852,31.19457,0,25.02946,23.68726,23.38193,24.60499,30.1286,30.02362,29.10665,31.51492,30.27729,30.4578,30.01431,31.31473,31.75821,25.82787,25.06976,31.49639,31.35521,25.09767,25.66498,32.0535,31.29665,31.44226,31.54334,31.48562,30.80145,30.04453,31.55446,30.78363,31.78472,30.23946,31.49419,31.86945,29.67449,32.89223,28.80437,28.96707,30.7602,31.8636,31.53816,31.52452,32.95804,32.44786,30.8105,32.86953,31.39401,30.79858,31.23776,31.31473,32.07734,31.1005,31.2839,32.0581,29.8304,31.30372,30.50941,30.9182,32.00295,31.42335,31.9406,31.85271,30.82546,30.49997,31.16388,31.28016,30.16105,31.3189,31.35521,31.17916,30.7901,30.09228,30.89474,29.53415,30.31609,30.14778,30.00077,29.53151,30.71002,30.95609,30.32856,32.25126,30.86871
K2013117-187,23.38985,28.95235,28.38129,31.13311,25.02946,0,22.51269,23.93128,25.42467,30.07491,29.32638,29.78702,30.72047,29.0054,29.99182,29.93293,32.01801,31.04833,24.31093,23.36143,31.73776,31.99775,24.34205,24.17536,31.20004,31.8127,31.87646,31.66918,31.33169,30.85017,30.96207,31.71622,31.29516,31.19305,29.62087,31.55562,32.02791,30.3046,32.84862,28.35269,28.72031,30.87496,31.67571,31.59253,31.95503,32.19982,32.82388,30.82419,32.36927,31.74439,30.87371,31.02928,31.4213,32.53493,31.45544,31.01168,31.50683,30.46614,31.85225,31.09201,30.495,31.32004,31.69529,32.34574,31.69927,30.91379,31.14626,30.75917,31.26229,29.93579,30.33204,30.55536,30.47822,31.39224,30.34774,30.12185,29.27709,30.48164,30.1323,30.05569,29.87584,30.44708,29.88454,29.95583,32.07293,30.95458
K2013117-188,25.21296,29.40118,28.60709,30.59005,23.68726,22.51269,0,23.67696,24.80013,29.02226,28.25149,28.6074,30.48215,28.66325,28.73377,29.38024,31.09747,30.75339,23.50124,24.50271,31.04766,31.09369,24.65647,25.454,31.00704,30.8979,30.95766,31.0782,31.11781,29.48542,29.67998,30.75704,30.9027,30.96821,30.65475,30.96972,31.28355,29.78065,32.85815,28.84116,28.79406,30.09614,31.10241,30.99246,31.49716,32.01362,31.91753,31.18522,32.19675,30.83111,29.98851,30.27124,30.96967,31.98771,31.17325,30.5059,31.44837,29.58438,30.73841,30.93334,29.76179,31.36901,30.71873,31.52464,30.84682,30.42104,29.83256,30.56411,31.11397,28.40989,30.62883,30.59337,30.12051,30.48407,30.08705,29.95401,30.22018,30.75017,30.69008,30.87621,30.22697,29.93287,29.81248,30.98326,31.39919,30.68475
K2013117-189,23.49616,29.74663,29.87655,31.3427,23.38193,23.93128,23.67696,0,23.53532,29.74474,29.91526,28.97426,31.4604,29.34773,30.11598,29.54586,31.72376,31.21073,23.07859,23.55062,30.80059,31.57117,24.23581,24.58141,31.44282,31.51689,30.90838,31.83252,31.83095,30.71235,30.52362,31.8126,30.8464,32.0854,29.32192,31.99397,32.75238,29.83985,33.42513,29.40622,28.55733,30.90412,31.29669,31.27404,31.11954,32.75113,32.92726,30.29287,32.90647,31.14067,31.26886,30.7772,31.6133,32.2404,30.80237,30.55079,32.0393,30.32698,31.0417,30.80171,30.9778,31.73501,31.48682,32.34503,31.85242,30.75479,30.20122,31.28371,32.33692,28.60369,31.82056,30.90233,30.19706,30.70679,30.49704,31.84412,30.08005,30.84263,30.6182,30.28468,30.05721,30.78119,30.30791,30.49754,32.33481,30.30341
K2013117-190,24.55912,28.74766,28.90394,31.48953,24.60499,25.42467,24.80013,23.53532,0,30.01665,29.72163,30.0117,31.17055,28.04996,30.22564,29.33029,32.03856,31.89836,23.7674,24.85187,30.83057,31.78916,24.41624,24.17383,31.71503,31.87082,31.83189,31.75745,31.34985,31.18437,29.92231,31.23623,30.35573,31.31484,29.98947,31.74116,32.07068,29.11245,33.36165,29.51219,28.35229,30.3198,31.49155,31.97032,32.13371,32.8693,32.52565,30.4418,32.40513,30.70247,30.71871,30.9836,31.75816,32.31433,30.71896,30.91172,31.37111,29.94784,31.7777,31.40434,31.10857,31.47167,31.93336,32.13991,31.80022,30.86849,29.27084,31.22877,31.92178,29.17165,30.92097,31.13707,30.27348,30.9761,30.02688,30.73283,30.94391,30.82266,30.99281,31.10551,30.95463,29.54284,30.15929,31.12432,32.14373,30.2525
B2013117-191,29.96588,30.12886,30.33396,29.90902,30.1286,30.07491,29.02226,29.74474,30.01665,0,30.07891,23.66292,31.30748,29.75497,23.45522,30.45684,30.89045,31.31174,29.90787,28.86199,30.45387,30.70222,30.22958,30.00287,31.20738,29.20876,30.74161,31.46972,31.07,30.25322,30.70055,31.03268,29.46072,30.73948,30.94851,30.91944,31.68696,31.23188,32.20598,31.40102,30.81016,30.03104,30.29576,30.93165,29.616,32.08699,31.66492,30.81275,32.02621,30.51009,30.73307,30.63622,30.9653,31.23882,30.79033,30.95158,31.26835,31.62088,30.28763,30.75427,30.75537,31.40532,30.90428,31.26578,30.47688,30.17855,30.4809,31.13378,31.57363,30.92706,31.36994,30.87643,30.34429,29.60605,29.02079,31.05485,31.24826,30.26675,30.73283,30.50051,31.0308,31.10397,30.97296,32.03149,30.7058,31.51771
B2013117-193,29.57329,30.12028,29.26381,29.52991,29.10665,29.78702,28.6074,28.97426,30.0117,23.66292,30.04523,0,31.52324,29.79209,23.67627,30.2493,30.03372,31.49976,29.10328,28.58488,31.00059,30.95468,29.63986,29.65815,31.25642,29.36769,30.55069,31.34071,31.07774,30.012,30.20625,31.17597,30.26667,31.15253,31.15275,30.71665,31.17736,31.107,32.2451,31.45237,30.94847,30.36244,29.91558,30.60535,30.42687,32.69738,31.48229,30.54358,31.85482,30.76452,30.40432,30.68222,30.9423,31.09621,30.76023,30.35288,31.37321,32.12274,30.09471,31.08212,30.02196,31.53504,31.63094,31.58263,31.111,30.00266,30.27428,31.05701,30.87893,30.00403,31.76286,29.83511,30.00914,30.00809,28.53678,30.80954,31.78916,31.1198,31.84714,31.05632,31.51662,30.97014,30.76373,32.25382,31.21371,31.69975
B2013117-199,29.77733,23.14763,29.00088,30.52261,30.27729,29.0054,28.66325,29.34773,28.04996,29.75497,28.33984,29.79209,31.40161,0,29.97634,30.29705,31.64024,31.96494,28.61241,28.27801,30.89596,31.30468,29.26521,29.05751,31.77237,31.63737,31.2608,32.56472,31.56193,31.32319,29.5894,32.02803,30.24068,32.10015,30.35717,31.83541,32.38427,29.76685,33.54249,30.11633,28.85509,31.48595,30.46079,31.73727,32.44406,32.84232,32.46229,32.0359,32.30203,31.71756,30.20308,32.14759,32.4948,32.79361,31.09885,31.54376,31.02761,29.46477,31.58381,31.77015,30.83733,31.19064,32.07319,32.37924,32.14375,29.97165,29.8065,30.83603,30.71998,30.7331,31.63306,31.10074,31.16972,30.06931,29.61751,30.59581,31.66164,31.56776,31.80031,31.27338,31.02589,30.37961,29.61604,32.1202,32.86262,31.16659
