"","colMeans(sibsHatchDiff, na.rm = TRUE)"
"B2013117-191"," 0.3650000"
"B2013117-193"," 0.2200000"
"B2013117-198"," 0.2950000"
"K20131111-225"," 0.9000000"
"K20131113-227"," 2.4800000"
"K20131113-229"," 1.8900000"
"K20131113-230"," 3.1300000"
"K20131113-231"," 2.6450000"
"K20131113-233"," 0.9200000"
"K20131113-234"," 3.3000000"
"K20131113-237"," 2.4800000"
"K20131113-238"," 1.8900000"
"K20131113-239"," 0.9200000"
"K20131113-240"," 0.7000000"
"K20131113-241"," 1.9250000"
"K20131113-242"," 0.9000000"
"K20131113-245"," 0.7000000"
"K20131115-258"," 3.3000000"
"K20131119-270"," 1.3900000"
"K20131119-271"," 1.7460000"
"K20131119-274"," 1.7375000"
"K20131120-277"," 1.7375000"
"K20131120-278"," 2.2180000"
"K20131120-279"," 2.2220000"
"K2013117-185"," 0.9877778"
"K2013117-186"," 3.1633333"
"K2013117-187"," 1.1188889"
"K2013117-188"," 1.0188889"
"K2013117-189"," 1.1687500"
"K2013117-190"," 1.2322222"
"K2013118-200"," 0.9388889"
"K2013118-201"," 2.6811111"
"K2013118-202"," 0.6000000"
"K2013118-203"," 0.6000000"
"K2013118-204"," 1.1687500"
"K2013118-205"," 0.9388889"
"L20131113-254"," 1.0400000"
"L20131113-255"," 1.0400000"
"N20131111-206","10.7300000"
"N20131111-207"," 8.3600000"
"N20131111-210"," 9.7000000"
"N20131111-212"," 8.5500000"
"N20131111-213"," 7.0300000"
"N20131111-215"," 6.8450000"
"N20131111-217"," 5.5150000"
"N20131111-219"," 8.3600000"
"N20131111-220","10.7300000"
"N20131111-224"," 7.0300000"
"N20131118-266"," 8.5500000"
"T20131119-267"," 3.6600000"
"T20131121-280"," 3.6600000"
