"","Label","LarvalID","CollectionEvent","RackNo","Species","LarvaePhoto","LarvaEthanolLength","LarvaLength","KnownAge","CollectedBy","LarvalRecords.Comments","Calculated.Age","Delta13C","Delta15N","CNRatio","BodyWeight","SourceLarvae","LarvalRecords.CreatedDate","PlateID","Row","Column","NestID","LarvalOtoliths.LarvaID","OtolithCount","Otolith1Length","Otolith1Width","Otolith1Photo","PatsLength","Ratio1","Otolith1Rings","Otolith2Length","Otolith2Width","Otolith2Photo","Ratio2","Otolith2Rings","AblationSlide","AblationSlideColumn","AblationSlideRow","AblationCentralityScore","Mean.Otolith.Length.is.in.Millimetres.for.comparison.with.Adults","LarvalOtoliths.Comments","MeanDailyIncrements","LarvalOtoliths.CreatedDate","OLEstimateAge","Larva.Collection.ID","Set.Date","Net","Set.Time","Set.Flow.Rotor.Count","Set.30.Seconds.Count","Set.Rotor.Delta","Water.Temperature.on.Set","Water.Temperature.on.Pull","Pull.Time","Pull.Flow.Rotor.Count","Pull.30.sec.Rotor.Count","Pull.Rotor.Delta","Larva.Collection.Comments","Examined","Larvae.Found","Cod.Confirmed","Larvae.Comments","Weather","cSettime","cPulltime","Soak.Time","Pull.Date","Larva.Collection.Source","Depth..m.","Total.Rotor.Delta","Delta.per.Hour","Average.set.and.pull.30.sec.delta","Av.rotor.if.over.whole.soak.time","Maccullochella.larvae","Perca.larvae","Cyprinus.larvae","Other.species","Location","SoakHours","OrigTotalRotor","YearOnly","Day.of.Year","Larva.Collection.CreatedDate","SiteName","ACFlowAndWQ.ID","Datetime","ACFlowAndWQ.Station","Discharge..Ml.Day..Mean","WaterTemp.DegC..Mean","pH.Instantaneous","Turbidity..NTU..Mean","DO....saturation..Instantaneous","Sites.ID","RiverName","RiverSystemPart","Segment","Site.Name","Latitude","Longitude","GPS.Coordinates","new.Latitude","new.Longitude","X","Y.x","Elevation..m..from.DEM","Distance.from.source..m.","Distance.to.Angle.Crossing..m.","Distance_old","Sites.Source","AKA","Type","Slope","Width","Depth","Description","Fishing.Access","Seg","Field0","OtoPart","Li","B","Na","Mg","Mg.1","Al","Si","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Ni","Cu","Zn","Ga","Rb","Sr","Sr.1","Y.y","Ag","Sb","Ba","Ba.1","La","Ce","Nd","Er","Pb","ageOL","hatchdoy","incTime","spawn","nestdist","cladeNo.x","cladeNo.y","clade"
"1","B2013117-191",191,797,"A7","M. peelii","C:\DBImages\Larva\191.jpg",11.102,11.5149944,NA,"Alan Couch","",NA,-24.12,17.33,3.2,0.99,"Wild caught Murrumbidgee","10-Feb-14","2013A","A",7,NA,191,2,280,220,"C:\DBImages\O1\O1_0191.jpg",300,1.27,11,290,210,"C:\DBImages\O2\O2C_0044.jpg",1.38,11,"C",9,"D",4,0.285,"",11,"10-Feb-14",16.73,797,"07-Nov-13","Drift net 6","00-Jan-00",0,585,585,21.5,21.5,"00-Jan-00",514930,515092,162,"New flow meters.",TRUE,TRUE,TRUE,"8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","",NA,515092,24528.19048,373.5,965124,27,NA,NA,NA,"",21.53333333,NA,2013,311,"12-Nov-13","Bullen Range",965,"07-Nov-13","Angle Crossing",209.326,19.42,7.312,5.465,95.178,5,"Murrumbidgee",NA,NA,"Bullen Range",-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,"M2G Project Information Document","Fairvale","Sample",0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,"Angle Crossing","0",0.0689671258764045,2.04859561898876,4926.25651991011,39.8815447197753,38.7981721513483,2.51643778565169,3142.3196528809,1479.34535207865,400726.268296629,0.237197597303371,0.601211815977528,0.127443275651685,1.65184113334831,2.9408462582809,119.020996317079,0.442797184168539,0.336301202179775,0.446304350853933,0.77431289688764,0.809490159617978,2075.5969721573,2097.64229682022,0.00423969647191011,0.0228593534269663,0.0139178534494382,38.8158169375281,38.4603776506742,0.00369070560674157,0.00376298829213483,0.030713665988764,0.00875539595505618,0.0307621096966292,16.73417,294.26583,7.71686,286.54897,25162.39583,6,6,"hB1"
"2","B2013117-191",191,797,"A7","M. peelii","C:\DBImages\Larva\191.jpg",11.102,11.5149944,NA,"Alan Couch","",NA,-24.12,17.33,3.2,0.99,"Wild caught Murrumbidgee","10-Feb-14","2013A","A",7,NA,191,2,280,220,"C:\DBImages\O1\O1_0191.jpg",300,1.27,11,290,210,"C:\DBImages\O2\O2C_0044.jpg",1.38,11,"C",9,"D",4,0.285,"",11,"10-Feb-14",16.73,797,"07-Nov-13","Drift net 6","00-Jan-00",0,585,585,21.5,21.5,"00-Jan-00",514930,515092,162,"New flow meters.",TRUE,TRUE,TRUE,"8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","",NA,515092,24528.19048,373.5,965124,27,NA,NA,NA,"",21.53333333,NA,2013,311,"12-Nov-13","Bullen Range",965,"07-Nov-13","Angle Crossing",209.326,19.42,7.312,5.465,95.178,5,"Murrumbidgee",NA,NA,"Bullen Range",-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,"M2G Project Information Document","Fairvale","Sample",0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,"Angle Crossing","Core",0.130273853,1.93033874428571,5216.11477759524,75.3728802902381,74.7397843245238,2.66745563864286,2688.2693911119,1516.020631,396193.261635714,0.1909929305,0.269414891071429,0.11085807252381,1.40870880966667,81.5848076245714,120.802671231667,0.564854724523809,0.445762407214286,0.824425960452381,0.735524665857143,0.868889841690476,1214.565496,1175.56504286905,0.00659360780952381,0.0259478071666667,0.00268280602380952,12.6713198007381,12.2899668587857,0.0036034054047619,0.00248362588095238,0.00771505492857143,0.014184077547619,0.0265688626428571,16.73417,294.26583,7.71686,286.54897,25162.39583,6,6,"hB1"
"3","B2013117-191",191,797,"A7","M. peelii","C:\DBImages\Larva\191.jpg",11.102,11.5149944,NA,"Alan Couch","",NA,-24.12,17.33,3.2,0.99,"Wild caught Murrumbidgee","10-Feb-14","2013A","A",7,NA,191,2,280,220,"C:\DBImages\O1\O1_0191.jpg",300,1.27,11,290,210,"C:\DBImages\O2\O2C_0044.jpg",1.38,11,"C",9,"D",4,0.285,"",11,"10-Feb-14",16.73,797,"07-Nov-13","Drift net 6","00-Jan-00",0,585,585,21.5,21.5,"00-Jan-00",514930,515092,162,"New flow meters.",TRUE,TRUE,TRUE,"8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","",NA,515092,24528.19048,373.5,965124,27,NA,NA,NA,"",21.53333333,NA,2013,311,"12-Nov-13","Bullen Range",965,"07-Nov-13","Angle Crossing",209.326,19.42,7.312,5.465,95.178,5,"Murrumbidgee",NA,NA,"Bullen Range",-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,"M2G Project Information Document","Fairvale","Sample",0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,"Angle Crossing","E2",0.111676048592593,1.15651481711111,4763.05039933333,26.1490796644444,22.2854883432593,2.7750543652963,4721.63108238148,1164.14484011852,395802.366362963,0.337428565185185,0.386458851296296,0.16774057862963,2.90755888274074,2.03451240059259,152.75369994963,0.565479536333333,0.506856845259259,1.058508215,1.36024418014815,0.493247099111111,2646.61976144444,2634.60071518518,0.005299873,0.0245643989259259,0.0137031218518519,66.6343775133333,66.0009900174074,0.0103242495185185,0.0055549457037037,0.00614974666666667,0.011657233037037,0.0471542089259259,16.73417,294.26583,7.71686,286.54897,25162.39583,6,6,"hB1"
"4","B2013117-191",191,797,"A7","M. peelii","C:\DBImages\Larva\191.jpg",11.102,11.5149944,NA,"Alan Couch","",NA,-24.12,17.33,3.2,0.99,"Wild caught Murrumbidgee","10-Feb-14","2013A","A",7,NA,191,2,280,220,"C:\DBImages\O1\O1_0191.jpg",300,1.27,11,290,210,"C:\DBImages\O2\O2C_0044.jpg",1.38,11,"C",9,"D",4,0.285,"",11,"10-Feb-14",16.73,797,"07-Nov-13","Drift net 6","00-Jan-00",0,585,585,21.5,21.5,"00-Jan-00",514930,515092,162,"New flow meters.",TRUE,TRUE,TRUE,"8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","",NA,515092,24528.19048,373.5,965124,27,NA,NA,NA,"",21.53333333,NA,2013,311,"12-Nov-13","Bullen Range",965,"07-Nov-13","Angle Crossing",209.326,19.42,7.312,5.465,95.178,5,"Murrumbidgee",NA,NA,"Bullen Range",-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,"M2G Project Information Document","Fairvale","Sample",0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,"Angle Crossing","E1",0.0327755938518519,2.15032579162963,3960.60870355556,26.5960215362963,24.8067719425926,0.961121289185185,1581.28756901852,1080.32000207037,393318.038077778,0.133080706,0.265074530148148,0.0992404237037037,1.15294276122222,1.05063454744444,89.2649379722222,0.275200831962963,0.319252391407407,0.288260004481481,0.416133773962963,0.542313798259259,2685.38275440741,2663.36696011111,0.00620830848148148,0.0154543584814815,0.00424673655555556,71.5863187992593,70.2371152907407,0.000425154592592593,0.00303397211111111,0.011420325,0.00585122674074074,0.0156092114814815,16.73417,294.26583,7.71686,286.54897,25162.39583,6,6,"hB1"
"5","B2013117-192",192,797,"A8","M. peelii","C:\DBImages\Larva\192.jpg",10.551,10.9434972,NA,"Alan Couch","",NA,-23.18,17.08,3.24,0.71,"Wild caught Murrumbidgee","10-Feb-14","2013A","A",8,NA,192,2,230,180,"C:\DBImages\O1\O1_0192.jpg",240,1.28,NA,245,170,"C:\DBImages\O2\O2C_0045.jpg",1.44,10,"C",10,"D",3.5,0.2375,"",NA,"10-Feb-14",13.2,797,"07-Nov-13","Drift net 6","00-Jan-00",0,585,585,21.5,21.5,"00-Jan-00",514930,515092,162,"New flow meters.",TRUE,TRUE,TRUE,"8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","",NA,515092,24528.19048,373.5,965124,27,NA,NA,NA,"",21.53333333,NA,2013,311,"12-Nov-13","Bullen Range",965,"07-Nov-13","Angle Crossing",209.326,19.42,7.312,5.465,95.178,5,"Murrumbidgee",NA,NA,"Bullen Range",-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,"M2G Project Information Document","Fairvale","Sample",0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,"Angle Crossing","E2",0.0747760705714286,2.0256900595,4615.65341492857,72.9358736232143,70.0278902107143,3.42351977635714,2808.90105153571,1058.12234171786,414948.943978571,0.16145896525,0.475358737607143,0.196280433821429,2.92090516292857,2.73449368578571,145.136491700714,0.588980595678571,0.404811023642857,0.751860289392857,1.30922379535714,0.507677809142857,2626.45011007143,2571.28279996429,0.00614423,0.0202675632857143,0.00846915103571429,55.134008835,51.3492062521429,0.00257609610714286,0.00491170646428571,0.0185668395714286,0.0235891573571429,0.0253701967857143,13.20454,297.79546,7.71686,290.0786,28695.55546,6,6,"hB1"
"6","B2013117-192",192,797,"A8","M. peelii","C:\DBImages\Larva\192.jpg",10.551,10.9434972,NA,"Alan Couch","",NA,-23.18,17.08,3.24,0.71,"Wild caught Murrumbidgee","10-Feb-14","2013A","A",8,NA,192,2,230,180,"C:\DBImages\O1\O1_0192.jpg",240,1.28,NA,245,170,"C:\DBImages\O2\O2C_0045.jpg",1.44,10,"C",10,"D",3.5,0.2375,"",NA,"10-Feb-14",13.2,797,"07-Nov-13","Drift net 6","00-Jan-00",0,585,585,21.5,21.5,"00-Jan-00",514930,515092,162,"New flow meters.",TRUE,TRUE,TRUE,"8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","",NA,515092,24528.19048,373.5,965124,27,NA,NA,NA,"",21.53333333,NA,2013,311,"12-Nov-13","Bullen Range",965,"07-Nov-13","Angle Crossing",209.326,19.42,7.312,5.465,95.178,5,"Murrumbidgee",NA,NA,"Bullen Range",-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,"M2G Project Information Document","Fairvale","Sample",0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,"Angle Crossing","0",0.0748707886896552,3.58393709698276,4267.68067560345,63.5111192646552,64.1814755931034,1.43143444522414,2855.3539083,1001.10802364828,386524.641513793,0.162690861327586,0.493336102551724,0.129553344775862,1.80161881139655,2.95756123853448,113.597797524828,0.436440038051724,0.357544394275862,0.350438609862069,0.847888686482759,0.563269071396552,1951.19457624138,1873.2756232069,0.00666703744827586,0.0138062700172414,0.0104223640689655,24.6367113132759,24.4387610308621,0.00328358024137931,0.00366330953448276,0.0233892274310345,0.00772706174137931,0.0320801611034483,13.20454,297.79546,7.71686,290.0786,28695.55546,6,6,"hB1"
"7","B2013117-192",192,797,"A8","M. peelii","C:\DBImages\Larva\192.jpg",10.551,10.9434972,NA,"Alan Couch","",NA,-23.18,17.08,3.24,0.71,"Wild caught Murrumbidgee","10-Feb-14","2013A","A",8,NA,192,2,230,180,"C:\DBImages\O1\O1_0192.jpg",240,1.28,NA,245,170,"C:\DBImages\O2\O2C_0045.jpg",1.44,10,"C",10,"D",3.5,0.2375,"",NA,"10-Feb-14",13.2,797,"07-Nov-13","Drift net 6","00-Jan-00",0,585,585,21.5,21.5,"00-Jan-00",514930,515092,162,"New flow meters.",TRUE,TRUE,TRUE,"8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","",NA,515092,24528.19048,373.5,965124,27,NA,NA,NA,"",21.53333333,NA,2013,311,"12-Nov-13","Bullen Range",965,"07-Nov-13","Angle Crossing",209.326,19.42,7.312,5.465,95.178,5,"Murrumbidgee",NA,NA,"Bullen Range",-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,"M2G Project Information Document","Fairvale","Sample",0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,"Angle Crossing","Core",0.071920455902439,2.61739551682927,4675.47753704878,76.8461823714634,76.6742356278049,4.16728702717073,3957.70029579268,1038.60170835366,397158.583519512,0.147664311878049,0.500572703097561,0.117394844292683,1.83106784417073,11.3657306197561,122.893858966341,0.416841629536585,0.27954172702439,0.441890294682927,0.903059958951219,0.569010822536585,1601.99787214634,1555.16935204878,0.00559232643902439,0.017281594195122,0.00742259726829268,15.8320829176585,15.4180579553659,0.00325456717073171,0.00385567492682927,0.0151998770243902,0.0261743602682927,0.0182157923902439,13.20454,297.79546,7.71686,290.0786,28695.55546,6,6,"hB1"
"8","B2013117-192",192,797,"A8","M. peelii","C:\DBImages\Larva\192.jpg",10.551,10.9434972,NA,"Alan Couch","",NA,-23.18,17.08,3.24,0.71,"Wild caught Murrumbidgee","10-Feb-14","2013A","A",8,NA,192,2,230,180,"C:\DBImages\O1\O1_0192.jpg",240,1.28,NA,245,170,"C:\DBImages\O2\O2C_0045.jpg",1.44,10,"C",10,"D",3.5,0.2375,"",NA,"10-Feb-14",13.2,797,"07-Nov-13","Drift net 6","00-Jan-00",0,585,585,21.5,21.5,"00-Jan-00",514930,515092,162,"New flow meters.",TRUE,TRUE,TRUE,"8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","",NA,515092,24528.19048,373.5,965124,27,NA,NA,NA,"",21.53333333,NA,2013,311,"12-Nov-13","Bullen Range",965,"07-Nov-13","Angle Crossing",209.326,19.42,7.312,5.465,95.178,5,"Murrumbidgee",NA,NA,"Bullen Range",-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,"M2G Project Information Document","Fairvale","Sample",0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,"Angle Crossing","E1",0.0772421384814815,4.62996166803704,3668.21426014815,43.038341572963,41.9448732318519,1.77939884637037,2047.10770794074,779.969725759259,394387.433440741,0.156161573481481,0.204038879148148,0.0647407147407407,1.08535195422222,0.736775029333333,98.5720259833333,0.26486301237037,0.339083767074074,0.267283136185185,0.551820642962963,0.408867399814815,2679.83071659259,2636.73654544444,0.00460081414814815,0.00395631492592593,0.00363972825925926,62.7334021944444,65.2482555985185,0.00363462222222222,0.00396169477777778,0.00271707577777778,0.00757447311111111,0.002475528,13.20454,297.79546,7.71686,290.0786,28695.55546,6,6,"hB1"
"9","B2013117-193",193,797,"A9","M. peelii","C:\DBImages\Larva\193.jpg",10.919,11.3251868,NA,"Alan Couch","",NA,-24.01,17.31,3.2,1.04,"Wild caught Murrumbidgee","10-Feb-14","2013A","A",9,NA,193,2,260,200,"C:\DBImages\O1\O1_0193.jpg",280,1.3,NA,270,200,"C:\DBImages\O2\O2C_0046.jpg",1.35,6,"C",11,"D",4,0.265,"",NA,"10-Feb-14",15.25,797,"07-Nov-13","Drift net 6","00-Jan-00",0,585,585,21.5,21.5,"00-Jan-00",514930,515092,162,"New flow meters.",TRUE,TRUE,TRUE,"8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","",NA,515092,24528.19048,373.5,965124,27,NA,NA,NA,"",21.53333333,NA,2013,311,"12-Nov-13","Bullen Range",965,"07-Nov-13","Angle Crossing",209.326,19.42,7.312,5.465,95.178,5,"Murrumbidgee",NA,NA,"Bullen Range",-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,"M2G Project Information Document","Fairvale","Sample",0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,"Angle Crossing","E1",0.0466306136785714,2.80019089942857,3781.56095985714,26.1962592542857,26.0589642760714,1.8034285935,2632.43590305714,918.465316935714,394921.659914286,0.102973045571429,0.241920310928571,0.0661433655357143,1.20822192189286,1.15095263946429,94.5325913267857,0.349163342178571,0.306401489821429,0.323270490714286,0.48703084675,0.437708576,2754.41349892857,2702.72562232143,0.00281682803571429,0.00921900382142857,0.00304410039285714,61.2084783378571,61.3390023375,0.00119753735714286,0.00307170471428571,0.01595926025,0.0105119648571429,0.011750431,15.24801,295.75199,7.71686,288.03513,26650.04199,6,6,"hB1"
"10","B2013117-193",193,797,"A9","M. peelii","C:\DBImages\Larva\193.jpg",10.919,11.3251868,NA,"Alan Couch","",NA,-24.01,17.31,3.2,1.04,"Wild caught Murrumbidgee","10-Feb-14","2013A","A",9,NA,193,2,260,200,"C:\DBImages\O1\O1_0193.jpg",280,1.3,NA,270,200,"C:\DBImages\O2\O2C_0046.jpg",1.35,6,"C",11,"D",4,0.265,"",NA,"10-Feb-14",15.25,797,"07-Nov-13","Drift net 6","00-Jan-00",0,585,585,21.5,21.5,"00-Jan-00",514930,515092,162,"New flow meters.",TRUE,TRUE,TRUE,"8 frozen, 9 ethanol, 10 tank at wanniassa
validation sample retained","","7/11/2013 14:28","8/11/2013 12:00","21:32","08-Nov-13","",NA,515092,24528.19048,373.5,965124,27,NA,NA,NA,"",21.53333333,NA,2013,311,"12-Nov-13","Bullen Range",965,"07-Nov-13","Angle Crossing",209.326,19.42,7.312,5.465,95.178,5,"Murrumbidgee",NA,NA,"Bullen Range",-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,"M2G Project Information Document","Fairvale","Sample",0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,"Angle Crossing","0",0.0493267958115942,2.79639972610145,4737.28618053623,39.1176314684058,36.424879935942,2.10584106973913,2389.42094986232,1448.56180431884,405744.945702899,0.126205856057971,0.380799777826087,0.143616974652174,2.0997078324058,2.24371864,121.820766796087,0.438037009347826,0.417733521347826,0.519671620498841,0.845164389797101,0.80224331284058,2048.73683378261,2053.84537646377,0.00373382591304348,0.0214688783188406,0.00774415379710145,33.0321029223188,32.4367703669565,0.00145213217391304,0.00348799643478261,0.0221679333188406,0.0178436486811594,0.0133148797681159,15.24801,295.75199,7.71686,288.03513,26650.04199,6,6,"hB1"
